state,district,year_month,pincode,bio_age_5_17,bio_age_17_
Andhra Pradesh,Alluri Sitharama Raju,2025-01,93413554,5218,5934
Andhra Pradesh,Alluri Sitharama Raju,2025-02,46554772,193,211
Andhra Pradesh,Alluri Sitharama Raju,2025-03,33790839,116,114
Andhra Pradesh,Alluri Sitharama Raju,2025-04,43316499,201,245
Andhra Pradesh,Alluri Sitharama Raju,2025-05,35455200,130,169
Andhra Pradesh,Alluri Sitharama Raju,2025-06,34336566,113,129
Andhra Pradesh,Alluri Sitharama Raju,2025-07,16391587,69,74
Andhra Pradesh,Alluri Sitharama Raju,2025-08,39663017,147,164
Andhra Pradesh,Alluri Sitharama Raju,2025-09,32773083,114,130
Andhra Pradesh,Alluri Sitharama Raju,2025-10,33857144,116,128
Andhra Pradesh,Alluri Sitharama Raju,2025-11,37460848,110,134
Andhra Pradesh,Alluri Sitharama Raju,2025-12,38542035,140,143
Andhra Pradesh,Alluri Sitharama Raju,NaT,508725138,1771,2594
Andhra Pradesh,Anakapalli,2025-01,75408955,2226,1843
Andhra Pradesh,Anakapalli,2025-02,30276520,40,47
Andhra Pradesh,Anakapalli,2025-03,20711375,31,42
Andhra Pradesh,Anakapalli,2025-04,34504430,44,88
Andhra Pradesh,Anakapalli,2025-05,18587027,29,31
Andhra Pradesh,Anakapalli,2025-06,29742329,58,77
Andhra Pradesh,Anakapalli,2025-07,9559451,18,14
Andhra Pradesh,Anakapalli,2025-08,32925733,50,59
Andhra Pradesh,Anakapalli,2025-09,22821866,33,47
Andhra Pradesh,Anakapalli,2025-10,21246738,30,46
Andhra Pradesh,Anakapalli,2025-11,24960034,35,52
Andhra Pradesh,Anakapalli,2025-12,26556874,46,45
Andhra Pradesh,Anakapalli,NaT,434379834,902,790
Andhra Pradesh,Anantapur,2025-01,339195100,21756,32725
Andhra Pradesh,Anantapur,2025-02,140210317,468,1113
Andhra Pradesh,Anantapur,2025-03,122689869,446,979
Andhra Pradesh,Anantapur,2025-04,135572885,766,1483
Andhra Pradesh,Anantapur,2025-05,91241674,397,924
Andhra Pradesh,Anantapur,2025-06,140213953,545,1163
Andhra Pradesh,Anantapur,2025-07,69593091,295,412
Andhra Pradesh,Anantapur,2025-08,140729090,511,920
Andhra Pradesh,Anantapur,2025-09,102584105,284,868
Andhra Pradesh,Anantapur,2025-10,121143374,489,786
Andhra Pradesh,Anantapur,2025-11,121656202,387,890
Andhra Pradesh,Anantapur,2025-12,130421706,410,1170
Andhra Pradesh,Anantapur,NaT,1827949357,9080,14298
Andhra Pradesh,Ananthapur,2025-01,284049284,50370,11369
Andhra Pradesh,Ananthapur,2025-02,122693784,478,385
Andhra Pradesh,Ananthapur,2025-03,111346840,483,345
Andhra Pradesh,Ananthapur,2025-04,117530577,675,474
Andhra Pradesh,Ananthapur,2025-05,78869623,344,321
Andhra Pradesh,Ananthapur,2025-06,119081078,523,395
Andhra Pradesh,Ananthapur,2025-07,58250112,234,156
Andhra Pradesh,Ananthapur,2025-08,106710751,385,303
Andhra Pradesh,Ananthapur,2025-09,85572659,345,315
Andhra Pradesh,Ananthapur,2025-10,104127700,411,277
Andhra Pradesh,Ananthapur,2025-11,109801470,440,351
Andhra Pradesh,Ananthapur,2025-12,115471863,352,400
Andhra Pradesh,Ananthapur,NaT,1531540651,9042,4959
Andhra Pradesh,Ananthapuramu,2025-01,297455247,71315,12098
Andhra Pradesh,Ananthapuramu,2025-02,121657577,749,305
Andhra Pradesh,Ananthapuramu,2025-03,106193027,589,259
Andhra Pradesh,Ananthapuramu,2025-04,124748251,892,435
Andhra Pradesh,Ananthapuramu,2025-05,87117888,430,220
Andhra Pradesh,Ananthapuramu,2025-06,120624903,733,314
Andhra Pradesh,Ananthapuramu,2025-07,57219293,282,116
Andhra Pradesh,Ananthapuramu,2025-08,111350674,531,266
Andhra Pradesh,Ananthapuramu,2025-09,88149835,420,275
Andhra Pradesh,Ananthapuramu,2025-10,104645244,599,236
Andhra Pradesh,Ananthapuramu,2025-11,110315978,479,286
Andhra Pradesh,Ananthapuramu,2025-12,109801233,591,326
Andhra Pradesh,Ananthapuramu,NaT,1603181347,12923,3933
Andhra Pradesh,Annamayya,2025-01,74919009,3658,2294
Andhra Pradesh,Annamayya,2025-02,40301866,78,75
Andhra Pradesh,Annamayya,2025-03,31011886,42,61
Andhra Pradesh,Annamayya,2025-04,37726345,103,95
Andhra Pradesh,Annamayya,2025-05,27910529,52,65
Andhra Pradesh,Annamayya,2025-06,33072929,65,79
Andhra Pradesh,Annamayya,2025-07,12400776,27,19
Andhra Pradesh,Annamayya,2025-08,36685475,63,79
Andhra Pradesh,Annamayya,2025-09,27906921,47,60
Andhra Pradesh,Annamayya,2025-10,31005825,55,63
Andhra Pradesh,Annamayya,2025-11,34102111,72,70
Andhra Pradesh,Annamayya,2025-12,33075207,64,63
Andhra Pradesh,Annamayya,NaT,489336897,1464,899
Andhra Pradesh,Bapatla,2025-01,66387464,1908,1253
Andhra Pradesh,Bapatla,2025-02,35549176,89,39
Andhra Pradesh,Bapatla,2025-03,29800400,55,36
Andhra Pradesh,Bapatla,2025-04,47046859,118,68
Andhra Pradesh,Bapatla,2025-05,26663861,78,28
Andhra Pradesh,Bapatla,2025-06,35543489,72,42
Andhra Pradesh,Bapatla,2025-07,15159252,47,12
Andhra Pradesh,Bapatla,2025-08,23524529,51,24
Andhra Pradesh,Bapatla,2025-09,20390490,49,23
Andhra Pradesh,Bapatla,2025-10,25612959,52,28
Andhra Pradesh,Bapatla,2025-11,30319451,60,43
Andhra Pradesh,Bapatla,2025-12,32934946,72,42
Andhra Pradesh,Bapatla,NaT,467852312,1248,445
Andhra Pradesh,Chittoor,2025-01,375209615,112614,50232
Andhra Pradesh,Chittoor,2025-02,149115340,1619,1440
Andhra Pradesh,Chittoor,2025-03,139403005,1934,1190
Andhra Pradesh,Chittoor,2025-04,146417193,3657,1910
Andhra Pradesh,Chittoor,2025-05,120144515,2433,1144
Andhra Pradesh,Chittoor,2025-06,154177017,2483,1547
Andhra Pradesh,Chittoor,2025-07,77202629,1382,536
Andhra Pradesh,Chittoor,2025-08,149520036,1667,1396
Andhra Pradesh,Chittoor,2025-09,122216551,1090,1252
Andhra Pradesh,Chittoor,2025-10,133484065,1335,1202
Andhra Pradesh,Chittoor,2025-11,133479907,1368,1288
Andhra Pradesh,Chittoor,2025-12,146416534,1753,1640
Andhra Pradesh,Chittoor,NaT,2021435774,35392,17934
Andhra Pradesh,Cuddapah,2025-01,299436483,79058,31889
Andhra Pradesh,Cuddapah,2025-02,120807215,1530,998
Andhra Pradesh,Cuddapah,2025-03,131133297,1202,1086
Andhra Pradesh,Cuddapah,2025-04,129068406,1845,1427
Andhra Pradesh,Cuddapah,2025-05,107382208,1293,984
Andhra Pradesh,Cuddapah,2025-06,117194127,1203,934
Andhra Pradesh,Cuddapah,2025-07,65048635,558,372
Andhra Pradesh,Cuddapah,2025-08,114611579,994,902
Andhra Pradesh,Cuddapah,2025-09,97059076,818,864
Andhra Pradesh,Cuddapah,2025-10,104287106,908,815
Andhra Pradesh,Cuddapah,2025-11,119256925,1223,1052
Andhra Pradesh,Cuddapah,2025-12,118742674,1156,1030
Andhra Pradesh,Cuddapah,NaT,1635534359,23339,13316
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-01,84254101,2005,1726
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-02,42661458,83,52
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,43726581,72,51
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,47993701,110,68
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,34128364,59,58
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,38927482,63,61
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,11198390,28,21
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-08,31995208,46,48
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,28262246,51,43
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,31995710,50,34
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,39994238,60,60
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,38927525,79,54
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,NaT,575918439,1646,678
Andhra Pradesh,East Godavari,2025-01,526777293,133483,61304
Andhra Pradesh,East Godavari,2025-02,200736090,2337,1304
Andhra Pradesh,East Godavari,2025-03,246908227,2113,1536
Andhra Pradesh,East Godavari,2025-04,228878849,3317,2230
Andhra Pradesh,East Godavari,2025-05,200092780,2254,1350
Andhra Pradesh,East Godavari,2025-06,202763131,2339,1445
Andhra Pradesh,East Godavari,2025-07,128252587,1459,611
Andhra Pradesh,East Godavari,2025-08,188837179,1919,1221
Andhra Pradesh,East Godavari,2025-09,166604809,1427,1320
Andhra Pradesh,East Godavari,2025-10,194817566,1696,1272
Andhra Pradesh,East Godavari,2025-11,222450483,2081,1592
Andhra Pradesh,East Godavari,2025-12,209052846,2313,1788
Andhra Pradesh,East Godavari,NaT,2949454864,48166,19973
Andhra Pradesh,Eluru,2025-01,94314447,2609,2627
Andhra Pradesh,Eluru,2025-02,33399880,60,47
Andhra Pradesh,Eluru,2025-03,48802887,74,86
Andhra Pradesh,Eluru,2025-04,51982586,90,99
Andhra Pradesh,Eluru,2025-05,29150207,51,41
Andhra Pradesh,Eluru,2025-06,37661226,52,64
Andhra Pradesh,Eluru,2025-07,19077359,30,19
Andhra Pradesh,Eluru,2025-08,33946751,43,52
Andhra Pradesh,Eluru,2025-09,30683634,54,60
Andhra Pradesh,Eluru,2025-10,38754905,58,51
Andhra Pradesh,Eluru,2025-11,39742330,65,62
Andhra Pradesh,Eluru,2025-12,39222796,47,65
Andhra Pradesh,Eluru,NaT,502824458,1055,669
Andhra Pradesh,Guntur,2025-01,410038030,130649,64403
Andhra Pradesh,Guntur,2025-02,158269917,2087,1691
Andhra Pradesh,Guntur,2025-03,178641088,1836,1904
Andhra Pradesh,Guntur,2025-04,172371757,2760,2335
Andhra Pradesh,Guntur,2025-05,132152939,1782,1337
Andhra Pradesh,Guntur,2025-06,157227136,2083,1685
Andhra Pradesh,Guntur,2025-07,93499194,1294,599
Andhra Pradesh,Guntur,2025-08,148345772,1853,1338
Andhra Pradesh,Guntur,2025-09,130587043,1430,1421
Andhra Pradesh,Guntur,2025-10,154614274,1822,1648
Andhra Pradesh,Guntur,2025-11,156180269,2033,1573
Andhra Pradesh,Guntur,2025-12,159837057,2262,1934
Andhra Pradesh,Guntur,NaT,2235614423,35774,22161
Andhra Pradesh,Hyderabad,2025-01,190013948,12449,50539
Andhra Pradesh,Hyderabad,2025-02,80506214,559,1251
Andhra Pradesh,Hyderabad,2025-03,93507278,460,1453
Andhra Pradesh,Hyderabad,2025-04,94007475,658,1961
Andhra Pradesh,Hyderabad,2025-05,63004625,249,726
Andhra Pradesh,Hyderabad,2025-06,74505536,387,985
Andhra Pradesh,Hyderabad,2025-07,58004285,226,519
Andhra Pradesh,Hyderabad,2025-08,83506740,466,1291
Andhra Pradesh,Hyderabad,2025-09,70005345,344,1280
Andhra Pradesh,Hyderabad,2025-10,89007346,401,1314
Andhra Pradesh,Hyderabad,2025-11,85506455,501,1679
Andhra Pradesh,Hyderabad,2025-12,86006737,440,1605
Andhra Pradesh,Hyderabad,NaT,1185092116,6223,17778
Andhra Pradesh,K.V. Rangareddy,2025-01,6523001,40,25
Andhra Pradesh,K.V. Rangareddy,2025-02,8015041,7,10
Andhra Pradesh,K.V. Rangareddy,2025-03,4509518,6,5
Andhra Pradesh,K.V. Rangareddy,2025-04,10026363,10,16
Andhra Pradesh,K.V. Rangareddy,2025-05,2503718,0,6
Andhra Pradesh,K.V. Rangareddy,2025-06,3512989,3,5
Andhra Pradesh,K.V. Rangareddy,2025-07,2002312,2,2
Andhra Pradesh,K.V. Rangareddy,2025-08,4509531,1,9
Andhra Pradesh,K.V. Rangareddy,2025-09,3004930,5,3
Andhra Pradesh,K.V. Rangareddy,2025-10,4508219,1,8
Andhra Pradesh,K.V. Rangareddy,2025-11,3513190,1,6
Andhra Pradesh,K.V. Rangareddy,2025-12,6536150,13,9
Andhra Pradesh,K.V. Rangareddy,NaT,82728749,127,84
Andhra Pradesh,K.V.Rangareddy,2025-01,7020004,17,25
Andhra Pradesh,K.V.Rangareddy,2025-02,13042351,12,22
Andhra Pradesh,K.V.Rangareddy,2025-03,12517628,13,22
Andhra Pradesh,K.V.Rangareddy,2025-04,12557512,6,27
Andhra Pradesh,K.V.Rangareddy,2025-05,4008126,4,4
Andhra Pradesh,K.V.Rangareddy,2025-06,8530806,3,22
Andhra Pradesh,K.V.Rangareddy,2025-07,7518074,3,15
Andhra Pradesh,K.V.Rangareddy,2025-08,7520586,3,16
Andhra Pradesh,K.V.Rangareddy,2025-09,10042454,5,19
Andhra Pradesh,K.V.Rangareddy,2025-10,9568931,3,20
Andhra Pradesh,K.V.Rangareddy,2025-11,15534050,12,24
Andhra Pradesh,K.V.Rangareddy,2025-12,13549483,4,33
Andhra Pradesh,K.V.Rangareddy,NaT,153029479,83,356
Andhra Pradesh,Kakinada,2025-01,95996547,3970,3033
Andhra Pradesh,Kakinada,2025-02,34665905,97,58
Andhra Pradesh,Kakinada,2025-03,37331248,70,72
Andhra Pradesh,Kakinada,2025-04,49599190,170,100
Andhra Pradesh,Kakinada,2025-05,30399720,96,48
Andhra Pradesh,Kakinada,2025-06,38399400,120,72
Andhra Pradesh,Kakinada,2025-07,23466075,84,27
Andhra Pradesh,Kakinada,2025-08,35731863,85,52
Andhra Pradesh,Kakinada,2025-09,32532429,64,81
Andhra Pradesh,Kakinada,2025-10,34132663,67,45
Andhra Pradesh,Kakinada,2025-11,41597604,104,75
Andhra Pradesh,Kakinada,2025-12,37331835,113,91
Andhra Pradesh,Kakinada,NaT,492787449,2101,803
Andhra Pradesh,Karim Nagar,2025-01,20210062,131,472
Andhra Pradesh,Karim Nagar,2025-02,13642089,10,35
Andhra Pradesh,Karim Nagar,2025-03,15157755,13,29
Andhra Pradesh,Karim Nagar,2025-04,17684760,17,52
Andhra Pradesh,Karim Nagar,2025-05,9095105,9,24
Andhra Pradesh,Karim Nagar,2025-06,15158973,11,47
Andhra Pradesh,Karim Nagar,2025-07,6063729,9,13
Andhra Pradesh,Karim Nagar,2025-08,10610050,8,35
Andhra Pradesh,Karim Nagar,2025-09,11116345,7,42
Andhra Pradesh,Karim Nagar,2025-10,10609626,9,40
Andhra Pradesh,Karim Nagar,2025-11,15664321,11,40
Andhra Pradesh,Karim Nagar,2025-12,14147243,10,54
Andhra Pradesh,Karim Nagar,NaT,168763097,142,427
Andhra Pradesh,Karimnagar,2025-01,113201390,1830,5855
Andhra Pradesh,Karimnagar,2025-02,60647642,109,322
Andhra Pradesh,Karimnagar,2025-03,68224786,118,358
Andhra Pradesh,Karimnagar,2025-04,76312472,183,433
Andhra Pradesh,Karimnagar,2025-05,42957301,81,142
Andhra Pradesh,Karimnagar,2025-06,59129764,105,194
Andhra Pradesh,Karimnagar,2025-07,32849540,64,110
Andhra Pradesh,Karimnagar,2025-08,58116503,88,219
Andhra Pradesh,Karimnagar,2025-09,52053024,93,299
Andhra Pradesh,Karimnagar,2025-10,63171316,108,404
Andhra Pradesh,Karimnagar,2025-11,69739686,104,375
Andhra Pradesh,Karimnagar,2025-12,66709146,84,362
Andhra Pradesh,Karimnagar,NaT,864693821,1371,3716
Andhra Pradesh,Khammam,2025-01,183594282,7323,15475
Andhra Pradesh,Khammam,2025-02,77089776,354,370
Andhra Pradesh,Khammam,2025-03,87232439,331,397
Andhra Pradesh,Khammam,2025-04,81653540,545,523
Andhra Pradesh,Khammam,2025-05,57310159,146,197
Andhra Pradesh,Khammam,2025-06,68974326,273,295
Andhra Pradesh,Khammam,2025-07,42602311,201,163
Andhra Pradesh,Khammam,2025-08,69989159,297,347
Andhra Pradesh,Khammam,2025-09,62888800,187,366
Andhra Pradesh,Khammam,2025-10,73539502,280,388
Andhra Pradesh,Khammam,2025-11,74554000,380,412
Andhra Pradesh,Khammam,2025-12,79118046,359,452
Andhra Pradesh,Khammam,NaT,993030175,4860,6037
Andhra Pradesh,Krishna,2025-01,429466264,100551,52440
Andhra Pradesh,Krishna,2025-02,164180951,1625,1543
Andhra Pradesh,Krishna,2025-03,180309637,1396,1610
Andhra Pradesh,Krishna,2025-04,178759930,2344,1961
Andhra Pradesh,Krishna,2025-05,140715086,1593,1109
Andhra Pradesh,Krishna,2025-06,158961165,1826,1398
Andhra Pradesh,Krishna,2025-07,96930818,1298,583
Andhra Pradesh,Krishna,2025-08,153227147,1642,1344
Andhra Pradesh,Krishna,2025-09,135497507,962,1287
Andhra Pradesh,Krishna,2025-10,160523386,1215,1310
Andhra Pradesh,Krishna,2025-11,160523844,1583,1546
Andhra Pradesh,Krishna,2025-12,164705781,1783,1778
Andhra Pradesh,Krishna,NaT,2206653645,28970,18550
Andhra Pradesh,Kurnool,2025-01,327065527,176069,63924
Andhra Pradesh,Kurnool,2025-02,129582645,2796,1830
Andhra Pradesh,Kurnool,2025-03,145650875,2619,2056
Andhra Pradesh,Kurnool,2025-04,140467412,3511,2869
Andhra Pradesh,Kurnool,2025-05,107294805,1859,1396
Andhra Pradesh,Kurnool,2025-06,121808759,2316,1784
Andhra Pradesh,Kurnool,2025-07,78787288,1253,762
Andhra Pradesh,Kurnool,2025-08,117661588,1961,1559
Andhra Pradesh,Kurnool,2025-09,106776567,1603,1616
Andhra Pradesh,Kurnool,2025-10,120253438,1609,1515
Andhra Pradesh,Kurnool,2025-11,131139702,2193,1845
Andhra Pradesh,Kurnool,2025-12,131137914,2126,2121
Andhra Pradesh,Kurnool,NaT,1784100319,43077,24364
Andhra Pradesh,Mahabub Nagar,2025-01,63149607,284,1713
Andhra Pradesh,Mahabub Nagar,2025-02,64676239,25,450
Andhra Pradesh,Mahabub Nagar,2025-03,74860346,27,534
Andhra Pradesh,Mahabub Nagar,2025-04,78426507,29,646
Andhra Pradesh,Mahabub Nagar,2025-05,40741464,17,213
Andhra Pradesh,Mahabub Nagar,2025-06,57544937,17,348
Andhra Pradesh,Mahabub Nagar,2025-07,26990554,13,182
Andhra Pradesh,Mahabub Nagar,2025-08,56528106,28,455
Andhra Pradesh,Mahabub Nagar,2025-09,52962911,20,390
Andhra Pradesh,Mahabub Nagar,2025-10,60601886,23,494
Andhra Pradesh,Mahabub Nagar,2025-11,58565003,16,451
Andhra Pradesh,Mahabub Nagar,2025-12,67222892,22,557
Andhra Pradesh,Mahabub Nagar,NaT,827036552,301,6597
Andhra Pradesh,Mahabubnagar,2025-01,3054860,3,4
Andhra Pradesh,Mahabubnagar,2025-02,4074212,2,7
Andhra Pradesh,Mahabubnagar,2025-03,1018614,1,1
Andhra Pradesh,Mahabubnagar,2025-04,2036932,0,4
Andhra Pradesh,Mahabubnagar,2025-05,2036828,2,2
Andhra Pradesh,Mahabubnagar,2025-06,1527652,2,1
Andhra Pradesh,Mahabubnagar,2025-07,509336,0,1
Andhra Pradesh,Mahabubnagar,2025-08,1527657,3,3
Andhra Pradesh,Mahabubnagar,2025-09,509382,0,1
Andhra Pradesh,Mahabubnagar,2025-10,5601123,3,8
Andhra Pradesh,Mahabubnagar,2025-11,509382,0,1
Andhra Pradesh,Mahabubnagar,2025-12,1527627,0,3
Andhra Pradesh,Mahabubnagar,NaT,31571932,23,45
Andhra Pradesh,Mahbubnagar,2025-01,70271671,1447,5048
Andhra Pradesh,Mahbubnagar,2025-02,53979105,58,266
Andhra Pradesh,Mahbubnagar,2025-03,66710994,73,376
Andhra Pradesh,Mahbubnagar,2025-04,67729213,120,368
Andhra Pradesh,Mahbubnagar,2025-05,32081756,50,136
Andhra Pradesh,Mahbubnagar,2025-06,50923471,67,211
Andhra Pradesh,Mahbubnagar,2025-07,25970448,40,109
Andhra Pradesh,Mahbubnagar,2025-08,56016991,69,220
Andhra Pradesh,Mahbubnagar,2025-09,39719694,44,292
Andhra Pradesh,Mahbubnagar,2025-10,61619491,57,298
Andhra Pradesh,Mahbubnagar,2025-11,61108983,76,277
Andhra Pradesh,Mahbubnagar,2025-12,54997141,53,317
Andhra Pradesh,Mahbubnagar,NaT,698667205,906,3761
Andhra Pradesh,Medak,2025-01,114509543,2600,7559
Andhra Pradesh,Medak,2025-02,62277807,116,420
Andhra Pradesh,Medak,2025-03,74834850,160,439
Andhra Pradesh,Medak,2025-04,77847247,241,564
Andhra Pradesh,Medak,2025-05,46708566,88,192
Andhra Pradesh,Medak,2025-06,54241841,130,300
Andhra Pradesh,Medak,2025-07,32142575,85,130
Andhra Pradesh,Medak,2025-08,57758106,128,287
Andhra Pradesh,Medak,2025-09,47210839,106,393
Andhra Pradesh,Medak,2025-10,76844097,183,402
Andhra Pradesh,Medak,2025-11,67802610,175,357
Andhra Pradesh,Medak,2025-12,72825909,139,376
Andhra Pradesh,Medak,NaT,853812697,2130,4745
Andhra Pradesh,N. T. R,2025-01,104157045,4296,4709
Andhra Pradesh,N. T. R,2025-02,36970897,97,86
Andhra Pradesh,N. T. R,2025-03,43220222,74,118
Andhra Pradesh,N. T. R,2025-04,43745767,110,106
Andhra Pradesh,N. T. R,2025-05,33330705,69,82
Andhra Pradesh,N. T. R,2025-06,35411814,88,85
Andhra Pradesh,N. T. R,2025-07,23435800,70,39
Andhra Pradesh,N. T. R,2025-08,36973151,82,96
Andhra Pradesh,N. T. R,2025-09,30727856,53,82
Andhra Pradesh,N. T. R,2025-10,40102392,74,80
Andhra Pradesh,N. T. R,2025-11,41140332,87,87
Andhra Pradesh,N. T. R,2025-12,35410588,101,78
Andhra Pradesh,N. T. R,NaT,490073079,1587,1123
Andhra Pradesh,Nalgonda,2025-01,133152261,2495,11597
Andhra Pradesh,Nalgonda,2025-02,79282605,142,668
Andhra Pradesh,Nalgonda,2025-03,91480390,145,730
Andhra Pradesh,Nalgonda,2025-04,88430031,193,800
Andhra Pradesh,Nalgonda,2025-05,58445509,94,341
Andhra Pradesh,Nalgonda,2025-06,69626519,112,506
Andhra Pradesh,Nalgonda,2025-07,39641645,78,222
Andhra Pradesh,Nalgonda,2025-08,73183980,120,509
Andhra Pradesh,Nalgonda,2025-09,71151326,116,523
Andhra Pradesh,Nalgonda,2025-10,82331891,135,580
Andhra Pradesh,Nalgonda,2025-11,81314968,122,541
