state,district,year_month,pincode,age_0_5,age_5_17,age_18_greater
Andhra Pradesh,Anantapur,2025-09,29904620,96,5,0
Andhra Pradesh,Anantapur,2025-10,37118936,84,12,0
Andhra Pradesh,Anantapur,2025-11,40729347,116,9,0
Andhra Pradesh,Anantapur,2025-12,37632499,106,9,0
Andhra Pradesh,Anantapur,NaT,905767813,2819,212,0
Andhra Pradesh,Ananthapur,2025-01,13404352,29,7,0
Andhra Pradesh,Ananthapur,2025-02,25260868,58,8,0
Andhra Pradesh,Ananthapur,2025-03,16497616,37,3,0
Andhra Pradesh,Ananthapur,2025-04,8764899,17,3,0
Andhra Pradesh,Ananthapur,2025-05,17529277,45,1,0
Andhra Pradesh,Ananthapur,2025-06,19074356,49,6,0
Andhra Pradesh,Ananthapur,2025-07,11856856,26,2,0
Andhra Pradesh,Ananthapur,2025-08,20104966,47,4,0
Andhra Pradesh,Ananthapur,2025-09,20108714,46,4,0
Andhra Pradesh,Ananthapur,2025-10,15982275,39,3,0
Andhra Pradesh,Ananthapur,2025-11,16497731,37,3,0
Andhra Pradesh,Ananthapur,2025-12,21652138,52,2,0
Andhra Pradesh,Ananthapur,NaT,525842417,1361,105,0
Andhra Pradesh,Ananthapuramu,2025-01,21654836,55,2,0
Andhra Pradesh,Ananthapuramu,2025-02,37120555,103,7,0
Andhra Pradesh,Ananthapuramu,2025-03,32993464,97,5,0
Andhra Pradesh,Ananthapuramu,2025-04,14435774,45,3,0
Andhra Pradesh,Ananthapuramu,2025-05,21137400,77,4,0
Andhra Pradesh,Ananthapuramu,2025-06,23714022,68,2,2
Andhra Pradesh,Ananthapuramu,2025-07,14436378,38,2,0
Andhra Pradesh,Ananthapuramu,2025-08,28872067,83,6,0
Andhra Pradesh,Ananthapuramu,2025-09,21650796,55,2,0
Andhra Pradesh,Ananthapuramu,2025-10,23714349,69,2,2
Andhra Pradesh,Ananthapuramu,2025-11,25262492,67,0,1
Andhra Pradesh,Ananthapuramu,2025-12,27323106,73,4,0
Andhra Pradesh,Ananthapuramu,NaT,721740990,2188,120,5
Andhra Pradesh,Annamayya,2025-01,4135091,12,0,0
Andhra Pradesh,Annamayya,2025-02,13434163,35,1,11
Andhra Pradesh,Annamayya,2025-03,6717950,16,0,4
Andhra Pradesh,Annamayya,2025-04,6715711,17,0,5
Andhra Pradesh,Annamayya,2025-05,12919912,33,1,7
Andhra Pradesh,Annamayya,2025-06,9300672,19,1,1
Andhra Pradesh,Annamayya,2025-07,5683592,11,0,1
Andhra Pradesh,Annamayya,2025-08,9815495,25,2,0
Andhra Pradesh,Annamayya,2025-09,10332661,27,1,1
Andhra Pradesh,Annamayya,2025-10,12919551,26,2,6
Andhra Pradesh,Annamayya,2025-11,7750716,20,1,0
Andhra Pradesh,Annamayya,2025-12,10849984,23,1,6
Andhra Pradesh,Annamayya,NaT,251653365,604,38,63
Andhra Pradesh,Bapatla,2025-01,4181706,9,1,0
Andhra Pradesh,Bapatla,2025-02,5748995,17,2,0
Andhra Pradesh,Bapatla,2025-03,5747459,11,0,1
Andhra Pradesh,Bapatla,2025-04,2092036,4,0,0
Andhra Pradesh,Bapatla,2025-05,6796842,12,1,1
Andhra Pradesh,Bapatla,2025-06,4181023,8,1,0
Andhra Pradesh,Bapatla,2025-07,3659215,7,1,0
Andhra Pradesh,Bapatla,2025-08,5749893,11,0,1
Andhra Pradesh,Bapatla,2025-09,8365398,12,5,0
Andhra Pradesh,Bapatla,2025-10,6794864,13,1,0
Andhra Pradesh,Bapatla,2025-11,6797812,10,1,3
Andhra Pradesh,Bapatla,2025-12,3138474,7,0,0
Andhra Pradesh,Bapatla,NaT,153140231,300,42,10
Andhra Pradesh,Chittoor,2025-01,44493454,150,13,0
Andhra Pradesh,Chittoor,2025-02,65706773,305,33,0
Andhra Pradesh,Chittoor,2025-03,52773972,210,23,1
Andhra Pradesh,Chittoor,2025-04,27421835,103,8,0
Andhra Pradesh,Chittoor,2025-05,48115037,206,21,0
Andhra Pradesh,Chittoor,2025-06,50700715,189,17,0
Andhra Pradesh,Chittoor,2025-07,24835269,66,8,0
Andhra Pradesh,Chittoor,2025-08,57947296,235,19,0
Andhra Pradesh,Chittoor,2025-09,47079469,182,14,0
Andhra Pradesh,Chittoor,2025-10,62602226,244,19,4
Andhra Pradesh,Chittoor,2025-11,54323855,205,19,4
Andhra Pradesh,Chittoor,2025-12,53289786,175,23,2
Andhra Pradesh,Chittoor,NaT,1281241347,5227,442,32
Andhra Pradesh,Cuddapah,2025-01,35620587,124,11,0
Andhra Pradesh,Cuddapah,2025-02,53175475,255,21,0
Andhra Pradesh,Cuddapah,2025-03,46462348,151,18,0
Andhra Pradesh,Cuddapah,2025-04,21682546,86,4,0
Andhra Pradesh,Cuddapah,2025-05,43366042,154,14,0
Andhra Pradesh,Cuddapah,2025-06,44914790,157,20,1
Andhra Pradesh,Cuddapah,2025-07,20651104,60,4,0
Andhra Pradesh,Cuddapah,2025-08,44914272,165,14,0
Andhra Pradesh,Cuddapah,2025-09,37169290,142,11,0
Andhra Pradesh,Cuddapah,2025-10,45946700,166,9,0
Andhra Pradesh,Cuddapah,2025-11,43365198,133,11,0
Andhra Pradesh,Cuddapah,2025-12,36137427,109,7,0
Andhra Pradesh,Cuddapah,NaT,988103029,3817,269,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-01,5332402,10,2,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-02,11731352,27,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,7998875,19,0,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,2132987,3,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,7465805,16,0,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,9065560,17,1,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,4799319,9,0,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-08,10132341,20,1,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,8531728,17,4,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,10131980,21,2,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,6932011,13,0,1
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,10131927,18,0,2
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,NaT,204768864,428,20,9
Andhra Pradesh,East Godavari,2025-01,54828456,159,11,1
Andhra Pradesh,East Godavari,2025-02,92645366,325,25,1
Andhra Pradesh,East Godavari,2025-03,63920538,177,14,0
Andhra Pradesh,East Godavari,2025-04,35658276,103,12,0
Andhra Pradesh,East Godavari,2025-05,68108113,231,8,0
Andhra Pradesh,East Godavari,2025-06,55944870,181,16,0
Andhra Pradesh,East Godavari,2025-07,30772910,72,7,0
Andhra Pradesh,East Godavari,2025-08,70805835,229,13,0
Andhra Pradesh,East Godavari,2025-09,60694480,213,13,0
Andhra Pradesh,East Godavari,2025-10,76586368,241,16,1
Andhra Pradesh,East Godavari,2025-11,62191910,173,12,2
Andhra Pradesh,East Godavari,2025-12,58003875,170,11,0
Andhra Pradesh,East Godavari,NaT,1534722425,4887,349,5
Andhra Pradesh,Eluru,2025-01,2111275,6,0,0
Andhra Pradesh,Eluru,2025-02,12783959,28,0,0
Andhra Pradesh,Eluru,2025-03,5811896,10,3,0
Andhra Pradesh,Eluru,2025-04,3714168,9,0,0
Andhra Pradesh,Eluru,2025-05,5304056,11,0,0
Andhra Pradesh,Eluru,2025-06,11141648,20,3,0
Andhra Pradesh,Eluru,2025-07,4222320,10,0,1
Andhra Pradesh,Eluru,2025-08,7934337,13,3,0
Andhra Pradesh,Eluru,2025-09,8989969,16,1,1
Andhra Pradesh,Eluru,2025-10,13185010,25,2,1
Andhra Pradesh,Eluru,2025-11,13211091,24,3,2
Andhra Pradesh,Eluru,2025-12,5837696,12,0,0
Andhra Pradesh,Eluru,NaT,183352190,384,30,11
Andhra Pradesh,Guntur,2025-01,45445015,161,26,0
Andhra Pradesh,Guntur,2025-02,71561331,337,48,1
Andhra Pradesh,Guntur,2025-03,55890950,169,27,1
Andhra Pradesh,Guntur,2025-04,27686191,105,17,0
Andhra Pradesh,Guntur,2025-05,56933389,253,18,1
Andhra Pradesh,Guntur,2025-06,61637993,220,33,2
Andhra Pradesh,Guntur,2025-07,32383631,118,10,0
Andhra Pradesh,Guntur,2025-08,73128254,256,32,0
Andhra Pradesh,Guntur,2025-09,50145250,178,20,0
Andhra Pradesh,Guntur,2025-10,65290794,281,32,1
Andhra Pradesh,Guntur,2025-11,65290893,200,28,2
Andhra Pradesh,Guntur,2025-12,57455203,200,19,1
Andhra Pradesh,Guntur,NaT,1502254064,6291,615,26
Andhra Pradesh,Hyderabad,2025-01,24001749,111,28,0
Andhra Pradesh,Hyderabad,2025-02,37002747,180,50,0
Andhra Pradesh,Hyderabad,2025-03,27001817,107,30,0
Andhra Pradesh,Hyderabad,2025-04,15000968,66,20,0
Andhra Pradesh,Hyderabad,2025-05,15500860,58,18,0
Andhra Pradesh,Hyderabad,2025-06,20501323,49,16,0
Andhra Pradesh,Hyderabad,2025-07,13500767,52,15,0
Andhra Pradesh,Hyderabad,2025-08,26001693,104,42,0
Andhra Pradesh,Hyderabad,2025-09,33002243,120,28,0
Andhra Pradesh,Hyderabad,2025-10,28501864,125,37,0
Andhra Pradesh,Hyderabad,2025-11,33502040,138,34,0
Andhra Pradesh,Hyderabad,2025-12,26501829,91,29,0
Andhra Pradesh,Hyderabad,NaT,638042585,2630,661,1
Andhra Pradesh,K.V. Rangareddy,2025-01,501143,1,0,0
Andhra Pradesh,K.V. Rangareddy,2025-04,501141,1,0,0
Andhra Pradesh,K.V. Rangareddy,2025-07,501141,1,0,0
Andhra Pradesh,K.V. Rangareddy,NaT,7531619,12,4,0
Andhra Pradesh,K.V.Rangareddy,2025-01,1001308,2,0,0
Andhra Pradesh,K.V.Rangareddy,2025-02,1002720,2,0,0
Andhra Pradesh,K.V.Rangareddy,2025-03,1002436,2,0,0
Andhra Pradesh,K.V.Rangareddy,2025-04,500089,1,0,0
Andhra Pradesh,K.V.Rangareddy,2025-05,2511783,4,1,0
Andhra Pradesh,K.V.Rangareddy,2025-06,1001531,2,0,0
Andhra Pradesh,K.V.Rangareddy,2025-07,501509,1,0,0
Andhra Pradesh,K.V.Rangareddy,2025-08,1501372,2,2,0
Andhra Pradesh,K.V.Rangareddy,2025-09,1001248,2,0,0
Andhra Pradesh,K.V.Rangareddy,2025-10,501401,1,0,0
Andhra Pradesh,K.V.Rangareddy,2025-11,501218,1,0,0
Andhra Pradesh,K.V.Rangareddy,2025-12,1511740,2,1,0
Andhra Pradesh,K.V.Rangareddy,NaT,19551956,33,10,0
Andhra Pradesh,Kakinada,2025-01,7466726,17,3,0
Andhra Pradesh,Kakinada,2025-02,13332756,30,4,0
Andhra Pradesh,Kakinada,2025-03,10131870,23,1,0
Andhra Pradesh,Kakinada,2025-04,4799661,9,0,2
Andhra Pradesh,Kakinada,2025-05,12266143,28,4,1
Andhra Pradesh,Kakinada,2025-06,9065827,14,5,1
Andhra Pradesh,Kakinada,2025-07,6931636,13,1,0
Andhra Pradesh,Kakinada,2025-08,11732410,26,3,1
Andhra Pradesh,Kakinada,2025-09,11199030,21,1,1
Andhra Pradesh,Kakinada,2025-10,12266547,27,4,4
Andhra Pradesh,Kakinada,2025-11,9599387,20,2,1
Andhra Pradesh,Kakinada,2025-12,10132668,23,2,1
Andhra Pradesh,Kakinada,NaT,254375296,607,54,15
Andhra Pradesh,Karim Nagar,2025-01,1515917,3,0,0
Andhra Pradesh,Karim Nagar,2025-02,1515328,2,1,0
Andhra Pradesh,Karim Nagar,2025-03,1010173,2,0,0
Andhra Pradesh,Karim Nagar,2025-04,1010302,2,1,0
Andhra Pradesh,Karim Nagar,2025-05,1010173,2,0,0
Andhra Pradesh,Karim Nagar,2025-06,1515104,3,0,0
Andhra Pradesh,Karim Nagar,2025-07,505001,2,1,0
Andhra Pradesh,Karim Nagar,2025-08,1010519,2,0,0
Andhra Pradesh,Karim Nagar,2025-09,1010627,2,0,0
Andhra Pradesh,Karim Nagar,2025-10,505001,1,0,0
Andhra Pradesh,Karim Nagar,2025-11,505305,1,0,0
Andhra Pradesh,Karim Nagar,2025-12,1515303,3,0,0
Andhra Pradesh,Karim Nagar,NaT,21726364,46,8,0
Andhra Pradesh,Karimnagar,2025-01,7075051,14,6,0
Andhra Pradesh,Karimnagar,2025-02,12128441,23,6,0
Andhra Pradesh,Karimnagar,2025-03,8590851,19,3,0
Andhra Pradesh,Karimnagar,2025-04,7580598,15,4,0
Andhra Pradesh,Karimnagar,2025-05,5559306,10,1,0
Andhra Pradesh,Karimnagar,2025-06,6064096,14,1,0
Andhra Pradesh,Karimnagar,2025-07,4548515,8,3,0
Andhra Pradesh,Karimnagar,2025-08,13645209,28,5,0
Andhra Pradesh,Karimnagar,2025-09,9602513,18,5,0
Andhra Pradesh,Karimnagar,2025-10,10107235,20,5,0
Andhra Pradesh,Karimnagar,2025-11,8591016,20,5,0
Andhra Pradesh,Karimnagar,2025-12,9601257,21,4,0
Andhra Pradesh,Karimnagar,NaT,175865136,342,59,0
Andhra Pradesh,Khammam,2025-01,16228843,35,13,0
Andhra Pradesh,Khammam,2025-02,20286497,37,17,0
Andhra Pradesh,Khammam,2025-03,11664952,18,18,0
Andhra Pradesh,Khammam,2025-04,8114464,21,9,0
Andhra Pradesh,Khammam,2025-05,6085827,12,2,0
Andhra Pradesh,Khammam,2025-06,11157462,27,7,0
Andhra Pradesh,Khammam,2025-07,5071472,16,1,0
Andhra Pradesh,Khammam,2025-08,16736431,30,17,0
Andhra Pradesh,Khammam,2025-09,11664657,30,10,0
Andhra Pradesh,Khammam,2025-10,13692663,36,11,0
Andhra Pradesh,Khammam,2025-11,15721424,33,13,0
Andhra Pradesh,Khammam,2025-12,16229623,34,7,0
Andhra Pradesh,Khammam,NaT,269806356,540,139,0
Andhra Pradesh,Krishna,2025-01,41164520,118,14,1
Andhra Pradesh,Krishna,2025-02,72948569,316,29,0
Andhra Pradesh,Krishna,2025-03,52105055,168,6,1
Andhra Pradesh,Krishna,2025-04,24489469,100,6,0
Andhra Pradesh,Krishna,2025-05,48974538,147,20,1
Andhra Pradesh,Krishna,2025-06,50018958,167,17,4
Andhra Pradesh,Krishna,2025-07,28132609,83,8,0
Andhra Pradesh,Krishna,2025-08,62523295,209,26,1
Andhra Pradesh,Krishna,2025-09,51065061,194,17,0
Andhra Pradesh,Krishna,2025-10,56801584,193,14,4
Andhra Pradesh,Krishna,2025-11,60970735,157,20,2
Andhra Pradesh,Krishna,2025-12,53146180,144,23,0
Andhra Pradesh,Krishna,NaT,1203610852,4167,340,20
Andhra Pradesh,Kurnool,2025-01,48722622,253,23,0
Andhra Pradesh,Kurnool,2025-02,68420619,445,48,0
Andhra Pradesh,Kurnool,2025-03,61163241,331,32,0
Andhra Pradesh,Kurnool,2025-04,35247240,162,18,2
Andhra Pradesh,Kurnool,2025-05,54944066,312,21,0
Andhra Pradesh,Kurnool,2025-06,57016652,294,26,3
Andhra Pradesh,Kurnool,2025-07,34728570,147,6,0
Andhra Pradesh,Kurnool,2025-08,65829371,346,28,1
Andhra Pradesh,Kurnool,2025-09,51833970,269,38,1
Andhra Pradesh,Kurnool,2025-10,52868130,283,19,1
Andhra Pradesh,Kurnool,2025-11,60127919,230,30,0
Andhra Pradesh,Kurnool,2025-12,58051983,263,24,0
Andhra Pradesh,Kurnool,NaT,1375665448,7588,510,16
Andhra Pradesh,Mahabub Nagar,2025-01,15278377,39,20,0
Andhra Pradesh,Mahabub Nagar,2025-02,20370533,45,23,0
Andhra Pradesh,Mahabub Nagar,2025-03,14259826,38,11,0
Andhra Pradesh,Mahabub Nagar,2025-04,8148342,25,10,0
Andhra Pradesh,Mahabub Nagar,2025-05,6620442,13,4,0
Andhra Pradesh,Mahabub Nagar,2025-06,12731270,28,13,0
Andhra Pradesh,Mahabub Nagar,2025-07,5601799,10,3,0
Andhra Pradesh,Mahabub Nagar,2025-08,16297325,44,16,0
Andhra Pradesh,Mahabub Nagar,2025-09,16805921,52,16,0
Andhra Pradesh,Mahabub Nagar,2025-10,17824713,46,13,0
Andhra Pradesh,Mahabub Nagar,2025-11,16805881,35,17,0
Andhra Pradesh,Mahabub Nagar,2025-12,13241138,31,12,0
Andhra Pradesh,Mahabub Nagar,NaT,311669248,673,274,0
Andhra Pradesh,Mahabubnagar,2025-03,509128,1,0,0
Andhra Pradesh,Mahabubnagar,2025-11,509321,1,0,0
Andhra Pradesh,Mahabubnagar,NaT,2546129,5,0,0
Andhra Pradesh,Mahbubnagar,2025-01,9166288,19,7,0
Andhra Pradesh,Mahbubnagar,2025-02,14257981,27,12,0
Andhra Pradesh,Mahbubnagar,2025-03,7128925,15,3,0
Andhra Pradesh,Mahbubnagar,2025-04,7639233,16,7,0
Andhra Pradesh,Mahbubnagar,2025-05,3055300,5,3,0
Andhra Pradesh,Mahbubnagar,2025-06,7128130,15,8,0
Andhra Pradesh,Mahbubnagar,2025-07,2545493,3,2,0
Andhra Pradesh,Mahbubnagar,2025-08,10693482,20,10,0
Andhra Pradesh,Mahbubnagar,2025-09,6618775,15,2,0
Andhra Pradesh,Mahbubnagar,2025-10,11711553,25,8,0
Andhra Pradesh,Mahbubnagar,2025-11,9676335,16,5,0
Andhra Pradesh,Mahbubnagar,2025-12,7638102,17,0,0
Andhra Pradesh,Mahbubnagar,NaT,181279707,318,144,0
Andhra Pradesh,Medak,2025-01,14062910,29,11,0
Andhra Pradesh,Medak,2025-02,27120576,76,13,0
Andhra Pradesh,Medak,2025-03,18582865,47,8,0
Andhra Pradesh,Medak,2025-04,10044777,25,2,0
Andhra Pradesh,Medak,2025-05,6026814,10,3,0
Andhra Pradesh,Medak,2025-06,12556132,33,6,0
Andhra Pradesh,Medak,2025-07,4520336,10,3,0
Andhra Pradesh,Medak,2025-08,16071877,54,8,0
Andhra Pradesh,Medak,2025-09,17578029,50,9,0
Andhra Pradesh,Medak,2025-10,14565138,43,5,0
Andhra Pradesh,Medak,2025-11,7533781,15,3,0
Andhra Pradesh,Medak,2025-12,15569412,34,8,0
Andhra Pradesh,Medak,NaT,306363346,750,150,1
Andhra Pradesh,N. T. R,2025-01,5728469,14,2,0
Andhra Pradesh,N. T. R,2025-02,14057585,32,6,0
Andhra Pradesh,N. T. R,2025-03,9371321,19,5,1
Andhra Pradesh,N. T. R,2025-04,5724850,12,2,1
Andhra Pradesh,N. T. R,2025-05,10937207,25,2,2
Andhra Pradesh,N. T. R,2025-06,9369926,16,3,3
Andhra Pradesh,N. T. R,2025-07,3124701,5,1,0
Andhra Pradesh,N. T. R,2025-08,9370220,16,2,1
Andhra Pradesh,N. T. R,2025-09,7289853,21,1,1
Andhra Pradesh,N. T. R,2025-10,7811011,19,1,1
Andhra Pradesh,N. T. R,2025-11,15617176,27,4,5
Andhra Pradesh,N. T. R,2025-12,10934410,24,6,2
Andhra Pradesh,N. T. R,NaT,236940071,560,62,29
Andhra Pradesh,Nalgonda,2025-01,14229478,32,6,0
Andhra Pradesh,Nalgonda,2025-02,18295475,42,10,0
Andhra Pradesh,Nalgonda,2025-03,15754605,40,10,0
Andhra Pradesh,Nalgonda,2025-04,9655938,22,6,0
Andhra Pradesh,Nalgonda,2025-05,8639884,17,6,0
Andhra Pradesh,Nalgonda,2025-06,14230269,30,6,0
Andhra Pradesh,Nalgonda,2025-07,7115193,14,4,0
Andhra Pradesh,Nalgonda,2025-08,14737745,37,9,0
Andhra Pradesh,Nalgonda,2025-09,13721101,29,7,0
Andhra Pradesh,Nalgonda,2025-10,13721967,31,8,0
Andhra Pradesh,Nalgonda,2025-11,9655829,17,8,0
Andhra Pradesh,Nalgonda,2025-12,15754789,35,16,0
Andhra Pradesh,Nalgonda,NaT,277995158,605,120,0
Andhra Pradesh,Nandyal,2025-01,9331107,21,1,0
Andhra Pradesh,Nandyal,2025-02,14514023,38,1,1
Andhra Pradesh,Nandyal,2025-03,8812724,21,2,0
Andhra Pradesh,Nandyal,2025-04,3110032,5,0,1
Andhra Pradesh,Nandyal,2025-05,10886057,33,1,0
Andhra Pradesh,Nandyal,2025-06,10885791,29,2,0
Andhra Pradesh,Nandyal,2025-07,7257283,21,1,0
Andhra Pradesh,Nandyal,2025-08,11921090,27,0,0
Andhra Pradesh,Nandyal,2025-09,7257787,16,0,0
Andhra Pradesh,Nandyal,2025-10,10886934,26,0,0
Andhra Pradesh,Nandyal,2025-11,5184585,12,1,1
Andhra Pradesh,Nandyal,2025-12,6739515,12,4,0
