state,district,year_month,pincode,demo_age_5_17,demo_age_17_
Andaman And Nicobar Islands,South Andaman,2025-11,27533228,18,145
Andaman And Nicobar Islands,South Andaman,2025-12,22324179,15,123
Andaman And Nicobar Islands,South Andaman,NaT,304349686,181,1310
Andhra Pradesh,Adilabad,2025-01,89752062,517,5336
Andhra Pradesh,Adilabad,2025-02,79669327,127,990
Andhra Pradesh,Adilabad,2025-03,100845570,117,1350
Andhra Pradesh,Adilabad,2025-04,62525447,131,1309
Andhra Pradesh,Adilabad,2025-05,52440273,85,458
Andhra Pradesh,Adilabad,2025-06,56474769,77,614
Andhra Pradesh,Adilabad,2025-07,52441142,100,495
Andhra Pradesh,Adilabad,2025-08,50423063,50,619
Andhra Pradesh,Adilabad,2025-09,55465061,77,626
Andhra Pradesh,Adilabad,2025-10,51431481,46,604
Andhra Pradesh,Adilabad,2025-11,83196610,89,842
Andhra Pradesh,Adilabad,2025-12,70592411,78,993
Andhra Pradesh,Adilabad,NaT,1003930466,1102,12459
Andhra Pradesh,Alluri Sitharama Raju,2025-01,60674179,597,4849
Andhra Pradesh,Alluri Sitharama Raju,2025-02,51095517,45,307
Andhra Pradesh,Alluri Sitharama Raju,2025-03,61637537,54,384
Andhra Pradesh,Alluri Sitharama Raju,2025-04,32774087,23,157
Andhra Pradesh,Alluri Sitharama Raju,2025-05,31701473,39,206
Andhra Pradesh,Alluri Sitharama Raju,2025-06,33794231,36,243
Andhra Pradesh,Alluri Sitharama Raju,2025-07,42757433,43,297
Andhra Pradesh,Alluri Sitharama Raju,2025-08,34798313,36,218
Andhra Pradesh,Alluri Sitharama Raju,2025-09,39610403,47,221
Andhra Pradesh,Alluri Sitharama Raju,2025-10,34313617,18,151
Andhra Pradesh,Alluri Sitharama Raju,2025-11,43856935,47,297
Andhra Pradesh,Alluri Sitharama Raju,2025-12,38438151,48,243
Andhra Pradesh,Alluri Sitharama Raju,NaT,642141672,536,3729
Andhra Pradesh,Anakapalli,2025-01,66920398,615,4102
Andhra Pradesh,Anakapalli,2025-02,59461727,49,362
Andhra Pradesh,Anakapalli,2025-03,67981409,46,390
Andhra Pradesh,Anakapalli,2025-04,46745545,22,257
Andhra Pradesh,Anakapalli,2025-05,39298233,38,263
Andhra Pradesh,Anakapalli,2025-06,48859140,48,365
Andhra Pradesh,Anakapalli,2025-07,49921835,63,401
Andhra Pradesh,Anakapalli,2025-08,36112266,19,180
Andhra Pradesh,Anakapalli,2025-09,46205295,32,257
Andhra Pradesh,Anakapalli,2025-10,37709143,29,156
Andhra Pradesh,Anakapalli,2025-11,70632689,60,385
Andhra Pradesh,Anakapalli,2025-12,49918263,36,281
Andhra Pradesh,Anakapalli,NaT,793866475,715,4289
Andhra Pradesh,Anantapur,2025-01,183004984,1481,21958
Andhra Pradesh,Anantapur,2025-02,171661195,448,1682
Andhra Pradesh,Anantapur,2025-03,199493099,403,2155
Andhra Pradesh,Anantapur,2025-04,137636625,272,1688
Andhra Pradesh,Anantapur,2025-05,110312634,318,1046
Andhra Pradesh,Anantapur,2025-06,113404501,234,1157
Andhra Pradesh,Anantapur,2025-07,130932895,437,1027
Andhra Pradesh,Anantapur,2025-08,104645610,205,953
Andhra Pradesh,Anantapur,2025-09,118562850,194,1030
Andhra Pradesh,Anantapur,2025-10,92789569,130,970
Andhra Pradesh,Anantapur,2025-11,177325037,312,1917
Andhra Pradesh,Anantapur,2025-12,152585249,265,1821
Andhra Pradesh,Anantapur,NaT,2170731096,4257,22385
Andhra Pradesh,Ananthapur,2025-01,184027886,2586,7948
Andhra Pradesh,Ananthapur,2025-02,140726894,466,508
Andhra Pradesh,Ananthapur,2025-03,162375212,372,661
Andhra Pradesh,Ananthapur,2025-04,104646623,229,558
Andhra Pradesh,Ananthapur,2025-05,73711580,226,304
Andhra Pradesh,Ananthapur,2025-06,98459251,183,425
Andhra Pradesh,Ananthapur,2025-07,106190198,303,413
Andhra Pradesh,Ananthapur,2025-08,97424451,193,385
Andhra Pradesh,Ananthapur,2025-09,92790581,147,384
Andhra Pradesh,Ananthapur,2025-10,81962474,94,393
Andhra Pradesh,Ananthapur,2025-11,153102746,276,731
Andhra Pradesh,Ananthapur,2025-12,110316025,204,554
Andhra Pradesh,Ananthapur,NaT,1728449361,3813,7670
Andhra Pradesh,Ananthapuramu,2025-01,173207645,6914,25421
Andhra Pradesh,Ananthapuramu,2025-02,129903835,277,787
Andhra Pradesh,Ananthapuramu,2025-03,154137858,278,954
Andhra Pradesh,Ananthapuramu,2025-04,103098190,161,649
Andhra Pradesh,Ananthapuramu,2025-05,81966387,198,494
Andhra Pradesh,Ananthapuramu,2025-06,102587545,192,745
Andhra Pradesh,Ananthapuramu,2025-07,98466658,236,864
Andhra Pradesh,Ananthapuramu,2025-08,93823179,155,518
Andhra Pradesh,Ananthapuramu,2025-09,86606308,127,579
Andhra Pradesh,Ananthapuramu,2025-10,86600396,108,465
Andhra Pradesh,Ananthapuramu,2025-11,133514359,197,859
Andhra Pradesh,Ananthapuramu,2025-12,130938543,174,910
Andhra Pradesh,Ananthapuramu,NaT,1781082732,2795,10887
Andhra Pradesh,Annamayya,2025-01,87855603,3875,16881
Andhra Pradesh,Annamayya,2025-02,69253639,102,508
Andhra Pradesh,Annamayya,2025-03,78019360,70,576
Andhra Pradesh,Annamayya,2025-04,62014382,63,469
Andhra Pradesh,Annamayya,2025-05,42884836,76,336
Andhra Pradesh,Annamayya,2025-06,57357379,89,536
Andhra Pradesh,Annamayya,2025-07,59944554,90,503
Andhra Pradesh,Annamayya,2025-08,42892555,52,369
Andhra Pradesh,Annamayya,2025-09,53739344,56,326
Andhra Pradesh,Annamayya,2025-10,40824847,29,225
Andhra Pradesh,Annamayya,2025-11,69756795,85,511
Andhra Pradesh,Annamayya,2025-12,61494776,57,467
Andhra Pradesh,Annamayya,NaT,924962521,1145,6138
Andhra Pradesh,Bapatla,2025-01,77884672,906,5155
Andhra Pradesh,Bapatla,2025-02,61158352,54,299
Andhra Pradesh,Bapatla,2025-03,72138515,34,313
Andhra Pradesh,Bapatla,2025-04,51232685,30,228
Andhra Pradesh,Bapatla,2025-05,47568657,60,251
Andhra Pradesh,Bapatla,2025-06,54884057,49,320
Andhra Pradesh,Bapatla,2025-07,61167420,53,291
Andhra Pradesh,Bapatla,2025-08,41290076,35,223
Andhra Pradesh,Bapatla,2025-09,49133678,31,227
Andhra Pradesh,Bapatla,2025-10,36598894,14,124
Andhra Pradesh,Bapatla,2025-11,83114401,83,356
Andhra Pradesh,Bapatla,2025-12,68476834,52,321
Andhra Pradesh,Bapatla,NaT,824337233,607,3398
Andhra Pradesh,Chittoor,2025-01,250401818,12129,74917
Andhra Pradesh,Chittoor,2025-02,190394874,1169,3160
Andhra Pradesh,Chittoor,2025-03,198669583,950,3611
Andhra Pradesh,Chittoor,2025-04,125948643,583,2740
Andhra Pradesh,Chittoor,2025-05,129342445,670,1829
Andhra Pradesh,Chittoor,2025-06,144347015,665,2929
Andhra Pradesh,Chittoor,2025-07,147966529,733,2007
Andhra Pradesh,Chittoor,2025-08,108130668,421,1860
Andhra Pradesh,Chittoor,2025-09,146652532,545,2152
Andhra Pradesh,Chittoor,2025-10,116924195,296,1778
Andhra Pradesh,Chittoor,2025-11,192461351,685,3470
Andhra Pradesh,Chittoor,2025-12,165677098,621,3312
Andhra Pradesh,Chittoor,NaT,2489246810,9190,37214
Andhra Pradesh,Cuddapah,2025-01,167787902,3063,24696
Andhra Pradesh,Cuddapah,2025-02,154884221,443,2127
Andhra Pradesh,Cuddapah,2025-03,153849534,357,2226
Andhra Pradesh,Cuddapah,2025-04,108418709,254,1826
Andhra Pradesh,Cuddapah,2025-05,97057656,269,1099
Andhra Pradesh,Cuddapah,2025-06,114611344,303,1844
Andhra Pradesh,Cuddapah,2025-07,129066819,395,1399
Andhra Pradesh,Cuddapah,2025-08,97060409,272,1709
Andhra Pradesh,Cuddapah,2025-09,110997589,182,1244
Andhra Pradesh,Cuddapah,2025-10,96026203,150,1479
Andhra Pradesh,Cuddapah,2025-11,156946517,360,2474
Andhra Pradesh,Cuddapah,2025-12,135263139,285,2148
Andhra Pradesh,Cuddapah,NaT,1988664956,4741,28322
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-01,90119927,544,4108
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-02,93320170,61,427
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,90654470,71,426
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-04,65058296,34,286
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-05,50126438,33,232
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-06,54392672,30,289
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-07,74656326,47,451
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-08,51726293,41,234
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-09,67723484,40,309
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-10,37861347,23,145
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-11,87987177,37,442
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12,75723178,36,368
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,NaT,1070242720,755,4687
Andhra Pradesh,East Godavari,2025-01,324225165,6925,61161
Andhra Pradesh,East Godavari,2025-02,270547173,663,3423
Andhra Pradesh,East Godavari,2025-03,290088812,604,4009
Andhra Pradesh,East Godavari,2025-04,208652120,418,3201
Andhra Pradesh,East Godavari,2025-05,159151336,268,1538
Andhra Pradesh,East Godavari,2025-06,197025039,387,2670
Andhra Pradesh,East Godavari,2025-07,233265737,548,2374
Andhra Pradesh,East Godavari,2025-08,163874684,372,2439
Andhra Pradesh,East Godavari,2025-09,206646331,318,2500
Andhra Pradesh,East Godavari,2025-10,164348278,262,2098
Andhra Pradesh,East Godavari,2025-11,289475229,453,4029
Andhra Pradesh,East Godavari,2025-12,243684491,438,3795
Andhra Pradesh,East Godavari,NaT,3735548764,7434,43698
Andhra Pradesh,Eluru,2025-01,86822683,721,4609
Andhra Pradesh,Eluru,2025-02,89603388,92,560
Andhra Pradesh,Eluru,2025-03,85299589,56,544
Andhra Pradesh,Eluru,2025-04,61842594,32,324
Andhra Pradesh,Eluru,2025-05,45622023,35,247
Andhra Pradesh,Eluru,2025-06,68330184,50,425
Andhra Pradesh,Eluru,2025-07,86336736,115,585
Andhra Pradesh,Eluru,2025-08,54586833,51,336
Andhra Pradesh,Eluru,2025-09,61973187,44,385
Andhra Pradesh,Eluru,2025-10,39785313,27,151
Andhra Pradesh,Eluru,2025-11,96370194,60,465
Andhra Pradesh,Eluru,2025-12,77896240,70,495
Andhra Pradesh,Eluru,NaT,1134441257,993,6112
Andhra Pradesh,Guntur,2025-01,238700336,9218,79994
Andhra Pradesh,Guntur,2025-02,217295036,828,3358
Andhra Pradesh,Guntur,2025-03,219380347,680,4088
Andhra Pradesh,Guntur,2025-04,147296788,491,3071
Andhra Pradesh,Guntur,2025-05,131105129,406,1868
Andhra Pradesh,Guntur,2025-06,149390581,464,2802
Andhra Pradesh,Guntur,2025-07,190134780,645,2567
Andhra Pradesh,Guntur,2025-08,111783966,309,1919
Andhra Pradesh,Guntur,2025-09,151477654,362,2297
Andhra Pradesh,Guntur,2025-10,124319076,209,1917
Andhra Pradesh,Guntur,2025-11,222518932,549,3787
Andhra Pradesh,Guntur,2025-12,173413506,461,3471
Andhra Pradesh,Guntur,NaT,2676973281,7404,44056
Andhra Pradesh,Hyderabad,2025-01,117008871,907,7343
Andhra Pradesh,Hyderabad,2025-02,113508843,253,1349
Andhra Pradesh,Hyderabad,2025-03,117009355,193,1609
Andhra Pradesh,Hyderabad,2025-04,80505867,142,1283
Andhra Pradesh,Hyderabad,2025-05,55504666,104,392
Andhra Pradesh,Hyderabad,2025-06,59504189,96,504
Andhra Pradesh,Hyderabad,2025-07,86506416,179,851
Andhra Pradesh,Hyderabad,2025-08,57004680,75,666
Andhra Pradesh,Hyderabad,2025-09,77505907,125,772
Andhra Pradesh,Hyderabad,2025-10,59504601,74,665
Andhra Pradesh,Hyderabad,2025-11,108508114,186,1264
Andhra Pradesh,Hyderabad,2025-12,85006639,118,1013
Andhra Pradesh,Hyderabad,NaT,1330101462,1930,14113
Andhra Pradesh,K.V. Rangareddy,2025-01,3006139,1,5
Andhra Pradesh,K.V. Rangareddy,2025-02,9025032,10,10
Andhra Pradesh,K.V. Rangareddy,2025-03,5520286,1,10
Andhra Pradesh,K.V. Rangareddy,2025-04,2530837,0,6
Andhra Pradesh,K.V. Rangareddy,2025-05,1500088,1,2
Andhra Pradesh,K.V. Rangareddy,2025-06,2503540,0,5
Andhra Pradesh,K.V. Rangareddy,2025-07,3007128,0,6
Andhra Pradesh,K.V. Rangareddy,2025-08,1501229,0,3
Andhra Pradesh,K.V. Rangareddy,2025-09,3521510,0,7
Andhra Pradesh,K.V. Rangareddy,2025-10,4008079,2,7
Andhra Pradesh,K.V. Rangareddy,2025-11,2003512,0,4
Andhra Pradesh,K.V. Rangareddy,2025-12,2004484,2,4
Andhra Pradesh,K.V. Rangareddy,NaT,38139057,15,65
Andhra Pradesh,K.V.Rangareddy,2025-01,10522128,3,33
Andhra Pradesh,K.V.Rangareddy,2025-02,9038101,6,22
Andhra Pradesh,K.V.Rangareddy,2025-03,11034222,2,21
Andhra Pradesh,K.V.Rangareddy,2025-04,7520248,2,20
Andhra Pradesh,K.V.Rangareddy,2025-05,5022276,4,6
Andhra Pradesh,K.V.Rangareddy,2025-06,4008540,0,8
Andhra Pradesh,K.V.Rangareddy,2025-07,4008944,2,10
Andhra Pradesh,K.V.Rangareddy,2025-08,6032123,2,11
Andhra Pradesh,K.V.Rangareddy,2025-09,5027693,0,10
Andhra Pradesh,K.V.Rangareddy,2025-10,6508027,0,14
Andhra Pradesh,K.V.Rangareddy,2025-11,9022702,0,19
Andhra Pradesh,K.V.Rangareddy,2025-12,8513224,1,27
Andhra Pradesh,K.V.Rangareddy,NaT,118312078,26,269
Andhra Pradesh,Kakinada,2025-01,82663978,1823,12076
Andhra Pradesh,Kakinada,2025-02,67732466,90,572
Andhra Pradesh,Kakinada,2025-03,72533749,103,686
Andhra Pradesh,Kakinada,2025-04,48000806,44,378
Andhra Pradesh,Kakinada,2025-05,38933110,58,335
Andhra Pradesh,Kakinada,2025-06,44267171,77,450
Andhra Pradesh,Kakinada,2025-07,63999585,90,715
Andhra Pradesh,Kakinada,2025-08,40532845,56,305
Andhra Pradesh,Kakinada,2025-09,56532309,63,514
Andhra Pradesh,Kakinada,2025-10,44798919,32,368
Andhra Pradesh,Kakinada,2025-11,57065649,74,505
Andhra Pradesh,Kakinada,2025-12,52799779,69,535
Andhra Pradesh,Kakinada,NaT,863451379,1042,7209
Andhra Pradesh,Karim Nagar,2025-01,17686009,10,58
Andhra Pradesh,Karim Nagar,2025-02,20212337,5,76
Andhra Pradesh,Karim Nagar,2025-03,16674070,5,63
Andhra Pradesh,Karim Nagar,2025-04,15158344,4,61
Andhra Pradesh,Karim Nagar,2025-05,3031518,2,8
Andhra Pradesh,Karim Nagar,2025-06,10105184,2,29
Andhra Pradesh,Karim Nagar,2025-07,9600055,1,26
Andhra Pradesh,Karim Nagar,2025-08,10104807,3,58
Andhra Pradesh,Karim Nagar,2025-09,12127348,7,28
Andhra Pradesh,Karim Nagar,2025-10,8084561,1,21
Andhra Pradesh,Karim Nagar,2025-11,12630613,2,33
Andhra Pradesh,Karim Nagar,2025-12,12631989,5,49
Andhra Pradesh,Karim Nagar,NaT,174313678,35,559
Andhra Pradesh,Karimnagar,2025-01,73278554,131,1160
Andhra Pradesh,Karimnagar,2025-02,81873278,57,477
Andhra Pradesh,Karimnagar,2025-03,88946762,31,473
Andhra Pradesh,Karimnagar,2025-04,78335552,59,592
Andhra Pradesh,Karimnagar,2025-05,35881738,26,151
Andhra Pradesh,Karimnagar,2025-06,52559385,25,249
Andhra Pradesh,Karimnagar,2025-07,56601934,39,217
Andhra Pradesh,Karimnagar,2025-08,51547274,21,215
Andhra Pradesh,Karimnagar,2025-09,50539227,26,252
Andhra Pradesh,Karimnagar,2025-10,57612403,22,302
Andhra Pradesh,Karimnagar,2025-11,64688164,36,280
Andhra Pradesh,Karimnagar,2025-12,74793331,46,423
Andhra Pradesh,Karimnagar,NaT,995593191,448,4573
Andhra Pradesh,Khammam,2025-01,106505337,649,6320
Andhra Pradesh,Khammam,2025-02,103461755,268,1305
Andhra Pradesh,Khammam,2025-03,91290092,184,1018
Andhra Pradesh,Khammam,2025-04,81146170,201,1232
Andhra Pradesh,Khammam,2025-05,55281726,107,354
Andhra Pradesh,Khammam,2025-06,57310246,106,602
Andhra Pradesh,Khammam,2025-07,72017217,223,554
Andhra Pradesh,Khammam,2025-08,66946905,174,609
Andhra Pradesh,Khammam,2025-09,69989839,174,622
Andhra Pradesh,Khammam,2025-10,75061736,113,742
Andhra Pradesh,Khammam,2025-11,94333735,151,914
Andhra Pradesh,Khammam,2025-12,91289731,154,1054
Andhra Pradesh,Khammam,NaT,1262848730,2144,12394
Andhra Pradesh,Krishna,2025-01,235038131,4145,38969
Andhra Pradesh,Krishna,2025-02,204806844,541,3068
Andhra Pradesh,Krishna,2025-03,209496906,444,3093
Andhra Pradesh,Krishna,2025-04,176693605,381,2754
Andhra Pradesh,Krishna,2025-05,144875012,289,1690
Andhra Pradesh,Krishna,2025-06,144876721,291,2293
Andhra Pradesh,Krishna,2025-07,173020300,395,1820
Andhra Pradesh,Krishna,2025-08,127686519,308,2063
Andhra Pradesh,Krishna,2025-09,158942451,280,2021
Andhra Pradesh,Krishna,2025-10,151171514,237,2011
Andhra Pradesh,Krishna,2025-11,195954743,385,2842
Andhra Pradesh,Krishna,2025-12,173062331,276,2631
Andhra Pradesh,Krishna,NaT,2659017064,5487,33135
Andhra Pradesh,Kurnool,2025-01,222358640,14693,85891
Andhra Pradesh,Kurnool,2025-02,176231874,984,3079
Andhra Pradesh,Kurnool,2025-03,156536139,723,3035
Andhra Pradesh,Kurnool,2025-04,137356998,585,2961
Andhra Pradesh,Kurnool,2025-05,115071737,550,1795
Andhra Pradesh,Kurnool,2025-06,107294517,497,2325
Andhra Pradesh,Kurnool,2025-07,138398416,765,2145
Andhra Pradesh,Kurnool,2025-08,102630024,497,2057
Andhra Pradesh,Kurnool,2025-09,125953778,403,1764
Andhra Pradesh,Kurnool,2025-10,118177967,299,2053
Andhra Pradesh,Kurnool,2025-11,149281405,519,2780
Andhra Pradesh,Kurnool,2025-12,129584607,485,2380
Andhra Pradesh,Kurnool,NaT,2180096402,8378,36002
Andhra Pradesh,Mahabub Nagar,2025-01,73334244,38,799
Andhra Pradesh,Mahabub Nagar,2025-02,79444063,13,502
Andhra Pradesh,Mahabub Nagar,2025-03,81989512,16,561
Andhra Pradesh,Mahabub Nagar,2025-04,76388962,17,734
Andhra Pradesh,Mahabub Nagar,2025-05,40231191,24,198
Andhra Pradesh,Mahabub Nagar,2025-06,49398888,8,339
Andhra Pradesh,Mahabub Nagar,2025-07,56527547,20,299
Andhra Pradesh,Mahabub Nagar,2025-08,48886516,11,333
Andhra Pradesh,Mahabub Nagar,2025-09,61110810,19,372
Andhra Pradesh,Mahabub Nagar,2025-10,66204188,5,474
Andhra Pradesh,Mahabub Nagar,2025-11,73842720,18,496
Andhra Pradesh,Mahabub Nagar,2025-12,60092715,17,402
Andhra Pradesh,Mahabub Nagar,NaT,1015465783,238,6860
Andhra Pradesh,Mahabubnagar,2025-01,1018258,0,2
Andhra Pradesh,Mahabubnagar,2025-02,3054888,2,4
Andhra Pradesh,Mahabubnagar,2025-03,2036735,0,4
Andhra Pradesh,Mahabubnagar,2025-04,2546036,1,5
Andhra Pradesh,Mahabubnagar,2025-06,1527695,0,3
Andhra Pradesh,Mahabubnagar,2025-07,2036698,1,3
Andhra Pradesh,Mahabubnagar,2025-08,509130,0,1
Andhra Pradesh,Mahabubnagar,2025-09,509401,0,1
Andhra Pradesh,Mahabubnagar,2025-10,1018425,0,2
Andhra Pradesh,Mahabubnagar,2025-11,2037402,0,4
Andhra Pradesh,Mahabubnagar,2025-12,1527314,1,2
Andhra Pradesh,Mahabubnagar,NaT,22405689,8,37
Andhra Pradesh,Mahbubnagar,2025-01,63652070,219,1501
Andhra Pradesh,Mahbubnagar,2025-02,65691742,49,385
Andhra Pradesh,Mahbubnagar,2025-03,64164034,29,313
Andhra Pradesh,Mahbubnagar,2025-04,60598983,49,424
Andhra Pradesh,Mahbubnagar,2025-05,28008183,35,88
Andhra Pradesh,Mahbubnagar,2025-06,44811963,29,249
Andhra Pradesh,Mahbubnagar,2025-07,51431626,71,194
Andhra Pradesh,Mahbubnagar,2025-08,50414001,48,243
Andhra Pradesh,Mahbubnagar,2025-09,47867566,39,235
Andhra Pradesh,Mahbubnagar,2025-10,47357884,26,252
Andhra Pradesh,Mahbubnagar,2025-11,61106309,46,293
Andhra Pradesh,Mahbubnagar,2025-12,51942396,42,283
Andhra Pradesh,Mahbubnagar,NaT,812730871,572,4183
Andhra Pradesh,Medak,2025-01,85883189,289,1944
Andhra Pradesh,Medak,2025-02,75839166,75,475
Andhra Pradesh,Medak,2025-03,87892508,68,533
Andhra Pradesh,Medak,2025-04,71819931,107,664
Andhra Pradesh,Medak,2025-05,34152237,50,176
Andhra Pradesh,Medak,2025-06,51228838,42,333
Andhra Pradesh,Medak,2025-07,68807905,94,292
Andhra Pradesh,Medak,2025-08,50727403,44,301
Andhra Pradesh,Medak,2025-09,60269664,48,285
Andhra Pradesh,Medak,2025-10,55747984,32,331
Andhra Pradesh,Medak,2025-11,71819870,51,399
Andhra Pradesh,Medak,2025-12,58259855,39,320
Andhra Pradesh,Medak,NaT,958777934,772,5199
Andhra Pradesh,N. T. R,2025-01,86970581,2436,17479
Andhra Pradesh,N. T. R,2025-02,73433540,138,918
Andhra Pradesh,N. T. R,2025-03,66668403,112,724
Andhra Pradesh,N. T. R,2025-04,66145298,98,661
Andhra Pradesh,N. T. R,2025-05,56769857,64,527
Andhra Pradesh,N. T. R,2025-06,50522298,89,620
Andhra Pradesh,N. T. R,2025-07,64064344,113,879
Andhra Pradesh,N. T. R,2025-08,40638198,45,321
Andhra Pradesh,N. T. R,2025-09,55733281,75,590
Andhra Pradesh,N. T. R,2025-10,48440461,59,395
Andhra Pradesh,N. T. R,2025-11,61455038,75,678
Andhra Pradesh,N. T. R,2025-12,49480104,64,612
Andhra Pradesh,N. T. R,NaT,881744729,1350,8948
Andhra Pradesh,Nalgonda,2025-01,87921548,203,3401
Andhra Pradesh,Nalgonda,2025-02,108758532,82,1169
Andhra Pradesh,Nalgonda,2025-03,100119684,59,1200
Andhra Pradesh,Nalgonda,2025-04,108250157,149,2292
Andhra Pradesh,Nalgonda,2025-05,63019439,39,437
Andhra Pradesh,Nalgonda,2025-06,58953118,34,547
Andhra Pradesh,Nalgonda,2025-07,76233462,80,618
Andhra Pradesh,Nalgonda,2025-08,64035106,48,755
Andhra Pradesh,Nalgonda,2025-09,78775203,50,722
Andhra Pradesh,Nalgonda,2025-10,79283122,46,864
Andhra Pradesh,Nalgonda,2025-11,93003927,61,831
Andhra Pradesh,Nalgonda,2025-12,72167159,34,788
