state,district,year_month,pincode,bio_age_5_17,bio_age_17_,month,pincode_lag_1,pincode_lag_2,pincode_lag_12,bio_age_5_17_lag_1,bio_age_5_17_lag_2,bio_age_5_17_lag_12,bio_age_17__lag_1,bio_age_17__lag_2,bio_age_17__lag_12,pincode_roll_3,pincode_roll_6,bio_age_5_17_roll_3,bio_age_5_17_roll_6,bio_age_17__roll_3,bio_age_17__roll_6,pincode_growth,bio_age_5_17_growth,bio_age_17__growth
Andaman & Nicobar Islands,South Andaman,2025-02-01,5209034,2,8,2.0,5953038.0,,,1.0,,,10.0,,,,,,,,,-0.124978876331715,1.0,-0.19999999999999996
Andaman & Nicobar Islands,South Andaman,2025-03-01,6697044,6,14,3.0,5209034.0,5953038.0,,2.0,1.0,,8.0,10.0,,5953038.666666667,,3.0,,10.666666666666666,,0.2856594908000216,2.0,0.75
Andaman & Nicobar Islands,South Andaman,2025-04-01,4464623,1,16,4.0,6697044.0,5209034.0,,6.0,2.0,,14.0,8.0,,5456900.333333333,,3.0,,12.666666666666666,,-0.33334423366488264,-0.8333333333333334,0.1428571428571428
Andaman & Nicobar Islands,South Andaman,2025-05-01,6697245,4,17,5.0,4464623.0,6697044.0,,1.0,6.0,,16.0,14.0,,5952970.666666667,,3.6666666666666665,,15.666666666666666,,0.5000695467456042,3.0,0.0625
Andaman & Nicobar Islands,South Andaman,2025-06-01,2976620,0,7,6.0,6697245.0,4464623.0,,4.0,1.0,,17.0,16.0,,4712829.333333333,5332934.0,1.6666666666666667,2.3333333333333335,13.333333333333334,12.0,-0.5555456012136334,-1.0,-0.5882352941176471
Andaman & Nicobar Islands,South Andaman,2025-07-01,1488210,1,3,7.0,2976620.0,6697245.0,,0.0,4.0,,7.0,17.0,,3720691.6666666665,4588796.0,1.6666666666666667,2.3333333333333335,9.0,10.833333333333334,-0.5000335951515478,inf,-0.5714285714285714
Andaman & Nicobar Islands,South Andaman,2025-08-01,6697250,1,16,8.0,1488210.0,2976620.0,,1.0,0.0,,3.0,7.0,,3720693.3333333335,4836832.0,0.6666666666666666,2.1666666666666665,8.666666666666666,12.166666666666666,3.500204944194704,0.0,4.333333333333333
Andaman & Nicobar Islands,South Andaman,2025-09-01,5209034,3,4,9.0,6697250.0,1488210.0,,1.0,1.0,,16.0,3.0,,4464831.333333333,4588830.333333333,1.6666666666666667,1.6666666666666667,7.666666666666667,10.5,-0.222212997872261,2.0,-0.75
Andaman & Nicobar Islands,South Andaman,2025-10-01,6697250,5,15,10.0,5209034.0,6697250.0,,3.0,1.0,,4.0,16.0,,6201178.0,4960934.833333333,3.0,2.3333333333333335,11.666666666666666,10.333333333333334,0.285699037479886,0.6666666666666667,2.75
Andaman & Nicobar Islands,South Andaman,2025-11-01,5952941,3,16,11.0,6697250.0,5209034.0,,5.0,3.0,,15.0,4.0,,5953075.0,4836884.166666667,3.6666666666666665,2.1666666666666665,11.666666666666666,10.166666666666666,-0.11113651125461943,-0.4,0.06666666666666665
Andaman & Nicobar Islands,South Andaman,2025-12-01,4464634,5,13,12.0,5952941.0,6697250.0,,3.0,5.0,,16.0,15.0,,5704941.666666667,5084886.5,4.333333333333333,3.0,14.666666666666666,11.166666666666666,-0.25001205286596995,0.6666666666666667,-0.1875
Andaman & Nicobar Islands,South Andaman,,78878039,29,167,,4464634.0,5952941.0,5953038.0,5.0,3.0,1.0,13.0,16.0,10.0,29765204.666666668,17983191.333333332,12.333333333333334,7.666666666666667,65.33333333333333,38.5,16.667302403735672,4.8,11.846153846153847
Andaman And Nicobar Islands,Nicobar,2025-01-01,19351858,534,513,1.0,,,,,,,,,,,,,,,,,,
Andaman And Nicobar Islands,Nicobar,2025-02-01,6698720,28,33,2.0,19351858.0,,,534.0,,,513.0,,,,,,,,,-0.653846157821125,-0.947565543071161,-0.935672514619883
Andaman And Nicobar Islands,Nicobar,2025-03-01,5210115,30,19,3.0,6698720.0,19351858.0,,28.0,534.0,,33.0,513.0,,10420231.0,,197.33333333333334,,188.33333333333334,,-0.22222230515680608,0.0714285714285714,-0.4242424242424242
Andaman And Nicobar Islands,Nicobar,2025-04-01,5954419,45,13,4.0,5210115.0,6698720.0,,30.0,28.0,,19.0,33.0,,5954418.0,,34.333333333333336,,21.666666666666668,,0.14285749930663716,0.5,-0.3157894736842105
Andaman And Nicobar Islands,Nicobar,2025-05-01,5954417,30,10,5.0,5954419.0,5210115.0,,45.0,30.0,,13.0,19.0,,5706317.0,,35.0,,14.0,,-3.358849957058041e-07,-0.33333333333333337,-0.23076923076923073
Andaman And Nicobar Islands,Nicobar,2025-06-01,5210113,30,13,6.0,5954417.0,5954419.0,,30.0,45.0,,10.0,13.0,,5706316.333333333,8063273.666666667,35.0,116.16666666666667,12.0,100.16666666666667,-0.12500031489228924,0.0,0.30000000000000004
Andaman And Nicobar Islands,Nicobar,2025-07-01,2977206,9,5,7.0,5210113.0,5954417.0,,30.0,30.0,,13.0,10.0,,4713912.0,5334165.0,23.0,28.666666666666668,9.333333333333334,15.5,-0.4285717027634526,-0.7,-0.6153846153846154
Andaman And Nicobar Islands,Nicobar,2025-08-01,7443020,27,24,8.0,2977206.0,5210113.0,,9.0,30.0,,5.0,13.0,,5210113.0,5458215.0,22.0,28.5,14.0,14.0,1.5000016794269526,2.0,3.8
Andaman And Nicobar Islands,Nicobar,2025-09-01,5954418,26,14,9.0,7443020.0,2977206.0,,27.0,9.0,,24.0,5.0,,5458214.666666667,5582265.5,20.666666666666668,27.833333333333332,14.333333333333334,13.166666666666666,-0.1999997312918681,-0.03703703703703709,-0.41666666666666663
Andaman And Nicobar Islands,Nicobar,2025-10-01,6698719,15,20,10.0,5954418.0,7443020.0,,26.0,27.0,,14.0,24.0,,6698719.0,5706315.5,22.666666666666668,22.833333333333332,19.333333333333332,14.333333333333334,0.12499979007184248,-0.42307692307692313,0.4285714285714286
Andaman And Nicobar Islands,Nicobar,2025-11-01,4465811,27,19,11.0,6698719.0,5954418.0,,15.0,26.0,,20.0,14.0,,5706316.0,5458214.5,22.666666666666668,22.333333333333332,17.666666666666668,15.833333333333334,-0.33333358213712205,0.8,-0.050000000000000044
Andaman And Nicobar Islands,Nicobar,2025-12-01,6698721,23,8,12.0,4465811.0,6698719.0,,27.0,15.0,,19.0,20.0,,5954417.0,5706315.833333333,21.666666666666668,21.166666666666668,15.666666666666666,15.0,0.5000010076557204,-0.14814814814814814,-0.5789473684210527
Andaman And Nicobar Islands,Nicobar,,66987172,168,128,,6698721.0,4465811.0,19351858.0,23.0,27.0,534.0,8.0,19.0,513.0,26050568.0,16374643.5,72.66666666666667,47.666666666666664,51.666666666666664,35.5,8.999994327275312,6.304347826086956,15.0
Andaman And Nicobar Islands,North And Middle Andaman,2025-01-01,32745023,2102,2074,1.0,,,,,,,,,,,,,,,,,,
Andaman And Nicobar Islands,North And Middle Andaman,2025-02-01,16372506,121,40,2.0,32745023.0,,,2102.0,,,2074.0,,,,,,,,,-0.5000001679644568,-0.9424357754519506,-0.9807135969141755
Andaman And Nicobar Islands,North And Middle Andaman,2025-03-01,10418869,47,22,3.0,16372506.0,32745023.0,,121.0,2102.0,,40.0,2074.0,,19845466.0,,756.6666666666666,,712.0,,-0.36363626924308345,-0.6115702479338843,-0.44999999999999996
Andaman And Nicobar Islands,North And Middle Andaman,2025-04-01,8930450,54,23,4.0,10418869.0,16372506.0,,47.0,121.0,,22.0,40.0,,11907275.0,,74.0,,28.333333333333332,,-0.1428580203858979,0.14893617021276606,0.045454545454545414
Andaman And Nicobar Islands,North And Middle Andaman,2025-05-01,10418861,61,20,5.0,8930450.0,10418869.0,,54.0,47.0,,23.0,22.0,,9922726.666666666,,54.0,,21.666666666666668,,0.16666696527050706,0.12962962962962954,-0.13043478260869568
Andaman And Nicobar Islands,North And Middle Andaman,2025-06-01,8186253,51,7,6.0,10418861.0,8930450.0,,61.0,54.0,,20.0,23.0,,9178521.333333334,14511993.666666666,55.333333333333336,406.0,16.666666666666668,364.3333333333333,-0.21428522753110923,-0.16393442622950816,-0.65
Andaman And Nicobar Islands,North And Middle Andaman,2025-07-01,7442051,27,8,7.0,8186253.0,10418861.0,,51.0,61.0,,7.0,20.0,,8682388.333333334,10294831.666666666,46.333333333333336,60.166666666666664,11.666666666666666,20.0,-0.09090874665124571,-0.47058823529411764,0.1428571428571428
Andaman And Nicobar Islands,North And Middle Andaman,2025-08-01,8930457,44,22,8.0,7442051.0,8186253.0,,27.0,51.0,,8.0,7.0,,8186253.666666667,9054490.166666666,40.666666666666664,47.333333333333336,12.333333333333334,17.0,0.19999943563944944,0.6296296296296295,1.75
Andaman And Nicobar Islands,North And Middle Andaman,2025-09-01,10418873,74,22,9.0,8930457.0,7442051.0,,44.0,27.0,,22.0,8.0,,8930460.333333334,9054490.833333334,48.333333333333336,51.833333333333336,17.333333333333332,17.0,0.1666673945129571,0.6818181818181819,0.0
Andaman And Nicobar Islands,North And Middle Andaman,2025-10-01,9674653,87,20,10.0,10418873.0,8930457.0,,74.0,44.0,,22.0,22.0,,9674661.0,9178524.666666666,68.33333333333333,57.333333333333336,21.333333333333332,16.5,-0.07142999055656019,0.17567567567567566,-0.09090909090909094
Andaman And Nicobar Islands,North And Middle Andaman,2025-11-01,12651482,64,32,11.0,9674653.0,10418873.0,,87.0,74.0,,20.0,22.0,,10915002.666666666,9550628.166666666,75.0,57.833333333333336,24.666666666666668,18.5,0.30769361960578845,-0.26436781609195403,0.6000000000000001
Andaman And Nicobar Islands,North And Middle Andaman,2025-12-01,11907267,98,20,12.0,12651482.0,9674653.0,,64.0,87.0,,32.0,20.0,,11411134.0,10170797.166666666,83.0,65.66666666666667,24.0,20.666666666666668,-0.05882433378160756,0.53125,-0.375
Andaman And Nicobar Islands,North And Middle Andaman,,139910411,950,293,,11907267.0,12651482.0,32745023.0,98.0,64.0,2102.0,20.0,32.0,2074.0,54823053.333333336,32248857.166666668,370.6666666666667,219.5,115.0,68.16666666666667,10.750001994580284,8.693877551020408,13.65
Andaman And Nicobar Islands,South Andaman,2025-01-01,53577595,3733,2563,1.0,,,,,,,,,,,,,,,,,,
Andaman And Nicobar Islands,South Andaman,2025-02-01,21579949,183,43,2.0,53577595.0,,,3733.0,,,2563.0,,,,,,,,,-0.5972206479219532,-0.9509777658719528,-0.9832227857978931
Andaman And Nicobar Islands,South Andaman,2025-03-01,20091537,135,38,3.0,21579949.0,53577595.0,,183.0,3733.0,,43.0,2563.0,,31749693.666666668,,1350.3333333333333,,881.3333333333334,,-0.06897198876605315,-0.2622950819672131,-0.11627906976744184
Andaman And Nicobar Islands,South Andaman,2025-04-01,18603338,119,36,4.0,20091537.0,21579949.0,,135.0,183.0,,38.0,43.0,,20091608.0,,145.66666666666666,,39.0,,-0.07407093842546741,-0.11851851851851847,-0.052631578947368474
Andaman And Nicobar Islands,South Andaman,2025-05-01,20835552,143,30,5.0,18603338.0,20091537.0,,119.0,135.0,,36.0,38.0,,19843475.666666668,,132.33333333333334,,34.666666666666664,,0.11998997169217707,0.2016806722689075,-0.16666666666666663
Andaman And Nicobar Islands,South Andaman,2025-06-01,14138389,110,26,6.0,20835552.0,18603338.0,,143.0,119.0,,30.0,36.0,,17859093.0,24804393.333333332,124.0,737.1666666666666,30.666666666666668,456.0,-0.32142959303406027,-0.23076923076923073,-0.1333333333333333
Andaman And Nicobar Islands,South Andaman,2025-07-01,10417887,50,15,7.0,14138389.0,20835552.0,,110.0,143.0,,26.0,30.0,,15130609.333333334,17611108.666666668,101.0,123.33333333333333,23.666666666666668,31.333333333333332,-0.2631489344365896,-0.5454545454545454,-0.42307692307692313
Andaman And Nicobar Islands,South Andaman,2025-08-01,20835551,142,45,8.0,10417887.0,14138389.0,,50.0,110.0,,15.0,26.0,,15130609.0,17487042.333333332,100.66666666666667,116.5,28.666666666666668,31.666666666666668,0.9999785945076962,1.8399999999999999,2.0
Andaman And Nicobar Islands,South Andaman,2025-09-01,19347546,180,43,9.0,20835551.0,10417887.0,,142.0,50.0,,45.0,15.0,,16866994.666666668,17363043.833333332,124.0,124.0,34.333333333333336,32.5,-0.07141663784173502,0.267605633802817,-0.0444444444444444
Andaman And Nicobar Islands,South Andaman,2025-10-01,15626707,141,37,10.0,19347546.0,20835551.0,,180.0,142.0,,43.0,45.0,,18603268.0,16866938.666666668,154.33333333333334,127.66666666666667,41.666666666666664,32.666666666666664,-0.19231581100776296,-0.21666666666666667,-0.13953488372093026
Andaman And Nicobar Islands,South Andaman,2025-11-01,21579871,144,48,11.0,15626707.0,19347546.0,,141.0,180.0,,37.0,43.0,,18851374.666666668,16990991.833333332,155.0,127.83333333333333,42.666666666666664,35.666666666666664,0.3809608767861328,0.02127659574468077,0.29729729729729737
Andaman And Nicobar Islands,South Andaman,2025-12-01,21579859,113,55,12.0,21579871.0,15626707.0,,144.0,141.0,,48.0,37.0,,19595479.0,18231236.833333332,132.66666666666666,128.33333333333334,46.666666666666664,40.5,-5.560737597054555e-07,-0.2152777777777778,0.14583333333333326
Andaman And Nicobar Islands,South Andaman,,270120731,1436,512,,21579859.0,21579871.0,53577595.0,113.0,144.0,3733.0,55.0,48.0,2563.0,104426820.33333333,61515044.166666664,564.3333333333334,359.3333333333333,205.0,123.33333333333333,11.517261164681383,11.70796460176991,8.309090909090909
Andhra Pradesh,Adilabad,2025-01-01,145722965,6035,20122,1.0,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Adilabad,2025-02-01,71601554,289,1012,2.0,145722965.0,,,6035.0,,,20122.0,,,,,,,,,-0.5086460531461188,-0.952112676056338,-0.9497067885896034
Andhra Pradesh,Adilabad,2025-03-01,60003432,227,785,3.0,71601554.0,145722965.0,,289.0,6035.0,,1012.0,20122.0,,92442650.33333333,,2183.6666666666665,,7306.333333333333,,-0.16198142850363273,-0.2145328719723183,-0.22430830039525695
Andhra Pradesh,Adilabad,2025-04-01,65045600,356,1071,4.0,60003432.0,71601554.0,,227.0,289.0,,785.0,1012.0,,65550195.333333336,,290.6666666666667,,956.0,,0.08403132674144365,0.5682819383259912,0.3643312101910827
Andhra Pradesh,Adilabad,2025-05-01,42859934,148,481,5.0,65045600.0,60003432.0,,356.0,227.0,,1071.0,785.0,,55969655.333333336,,243.66666666666666,,779.0,,-0.3410786586640757,-0.5842696629213483,-0.5508870214752568
Andhra Pradesh,Adilabad,2025-06-01,66054598,222,705,6.0,42859934.0,65045600.0,,148.0,356.0,,481.0,1071.0,,57986710.666666664,75214680.5,242.0,1212.8333333333333,752.3333333333334,4029.3333333333335,0.5411735818351937,0.5,0.4656964656964657
Andhra Pradesh,Adilabad,2025-07-01,29244840,98,304,7.0,66054598.0,42859934.0,,222.0,148.0,,705.0,481.0,,46053124.0,55801659.666666664,156.0,223.33333333333334,496.6666666666667,726.3333333333334,-0.5572626147842124,-0.5585585585585586,-0.5687943262411348
Andhra Pradesh,Adilabad,2025-08-01,68071763,290,846,8.0,29244840.0,66054598.0,,98.0,222.0,,304.0,705.0,,54457067.0,55213361.166666664,203.33333333333334,223.5,618.3333333333334,698.6666666666666,1.3276503820844976,1.9591836734693877,1.7828947368421053
Andhra Pradesh,Adilabad,2025-09-01,49919115,179,683,9.0,68071763.0,29244840.0,,290.0,98.0,,846.0,304.0,,49078572.666666664,53532641.666666664,189.0,215.5,611.0,681.6666666666666,-0.26666927959541753,-0.38275862068965516,-0.19267139479905437
Andhra Pradesh,Adilabad,2025-10-01,56474255,222,656,10.0,49919115.0,68071763.0,,179.0,290.0,,683.0,846.0,,58155044.333333336,52104084.166666664,230.33333333333334,193.16666666666666,728.3333333333334,612.5,0.1313152286453796,0.24022346368715075,-0.039531478770131745
Andhra Pradesh,Adilabad,2025-11-01,57481905,206,692,11.0,56474255.0,49919115.0,,222.0,179.0,,656.0,683.0,,54625091.666666664,54541079.333333336,202.33333333333334,202.83333333333334,677.0,647.6666666666666,0.017842643519600188,-0.07207207207207211,0.054878048780487854
Andhra Pradesh,Adilabad,2025-12-01,66054315,233,1021,12.0,57481905.0,56474255.0,,206.0,222.0,,692.0,656.0,,60003491.666666664,54541032.166666664,220.33333333333334,204.66666666666666,789.6666666666666,700.3333333333334,0.14913232259786802,0.13106796116504849,0.47543352601156075
Andhra Pradesh,Adilabad,,875847873,3703,11452,,66054315.0,57481905.0,145722965.0,233.0,206.0,6035.0,1021.0,692.0,20122.0,333128031.0,195641537.66666666,1380.6666666666667,805.5,4388.333333333333,2558.3333333333335,12.259510343873826,14.892703862660944,10.21645445641528
Andhra Pradesh,Alluri Sitharama Raju,2025-01-01,93413554,5218,5934,1.0,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Alluri Sitharama Raju,2025-02-01,46554772,193,211,2.0,93413554.0,,,5218.0,,,5934.0,,,,,,,,,-0.5016272263872971,-0.9630126485243389,-0.9644421975058982
Andhra Pradesh,Alluri Sitharama Raju,2025-03-01,33790839,116,114,3.0,46554772.0,93413554.0,,193.0,5218.0,,211.0,5934.0,,57919721.666666664,,1842.3333333333333,,2086.3333333333335,,-0.27417023973396326,-0.39896373056994816,-0.4597156398104265
Andhra Pradesh,Alluri Sitharama Raju,2025-04-01,43316499,201,245,4.0,33790839.0,46554772.0,,116.0,193.0,,114.0,211.0,,41220703.333333336,,170.0,,190.0,,0.2819006654436724,0.7327586206896552,1.1491228070175437
Andhra Pradesh,Alluri Sitharama Raju,2025-05-01,35455200,130,169,5.0,43316499.0,33790839.0,,201.0,116.0,,245.0,114.0,,37520846.0,,149.0,,176.0,,-0.18148509647559463,-0.3532338308457711,-0.310204081632653
Andhra Pradesh,Alluri Sitharama Raju,2025-06-01,34336566,113,129,6.0,35455200.0,43316499.0,,130.0,201.0,,169.0,245.0,,37702755.0,47811238.333333336,148.0,995.1666666666666,181.0,1133.6666666666667,-0.03155063291139237,-0.13076923076923075,-0.23668639053254437
Andhra Pradesh,Alluri Sitharama Raju,2025-07-01,16391587,69,74,7.0,34336566.0,35455200.0,,113.0,130.0,,129.0,169.0,,28727784.333333332,34974243.833333336,104.0,137.0,124.0,157.0,-0.5226200837905572,-0.3893805309734514,-0.4263565891472868
Andhra Pradesh,Alluri Sitharama Raju,2025-08-01,39663017,147,164,8.0,16391587.0,34336566.0,,69.0,113.0,,74.0,129.0,,30130390.0,33825618.0,109.66666666666667,129.33333333333334,122.33333333333333,149.16666666666666,1.419717932131892,1.1304347826086958,1.2162162162162162
Andhra Pradesh,Alluri Sitharama Raju,2025-09-01,32773083,114,130,9.0,39663017.0,16391587.0,,147.0,69.0,,164.0,74.0,,29609229.0,33655992.0,110.0,129.0,122.66666666666667,151.83333333333334,-0.17371179807123593,-0.22448979591836737,-0.20731707317073167
Andhra Pradesh,Alluri Sitharama Raju,2025-10-01,33857144,116,128,10.0,32773083.0,39663017.0,,114.0,147.0,,130.0,164.0,,35431081.333333336,32079432.833333332,125.66666666666667,114.83333333333333,140.66666666666666,132.33333333333334,0.033077785205621435,0.01754385964912286,-0.01538461538461533
Andhra Pradesh,Alluri Sitharama Raju,2025-11-01,37460848,110,134,11.0,33857144.0,32773083.0,,116.0,114.0,,128.0,130.0,,34697025.0,32413707.5,113.33333333333333,111.5,130.66666666666666,126.5,0.10643851117507142,-0.051724137931034475,0.046875
Andhra Pradesh,Alluri Sitharama Raju,2025-12-01,38542035,140,143,12.0,37460848.0,33857144.0,,110.0,116.0,,134.0,128.0,,36620009.0,33114619.0,122.0,116.0,135.0,128.83333333333334,0.028861786577815796,0.2727272727272727,0.0671641791044777
Andhra Pradesh,Alluri Sitharama Raju,,508725138,1771,2594,,38542035.0,37460848.0,93413554.0,140.0,110.0,5218.0,143.0,134.0,5934.0,194909340.33333334,115170210.83333333,673.6666666666666,399.6666666666667,957.0,548.8333333333334,12.199228790072969,11.65,17.13986013986014
Andhra Pradesh,Anakapalli,2025-01-01,75408955,2226,1843,1.0,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Anakapalli,2025-02-01,30276520,40,47,2.0,75408955.0,,,2226.0,,,1843.0,,,,,,,,,-0.5985023264146812,-0.9820305480682839,-0.9744981009224091
Andhra Pradesh,Anakapalli,2025-03-01,20711375,31,42,3.0,30276520.0,75408955.0,,40.0,2226.0,,47.0,1843.0,,42132283.333333336,,765.6666666666666,,644.0,,-0.315926169850432,-0.22499999999999998,-0.1063829787234043
Andhra Pradesh,Anakapalli,2025-04-01,34504430,44,88,4.0,20711375.0,30276520.0,,31.0,40.0,,42.0,47.0,,28497441.666666668,,38.333333333333336,,59.0,,0.6659652002824534,0.4193548387096775,1.0952380952380953
Andhra Pradesh,Anakapalli,2025-05-01,18587027,29,31,5.0,34504430.0,20711375.0,,44.0,31.0,,88.0,42.0,,24600944.0,,34.666666666666664,,53.666666666666664,,-0.46131476450994846,-0.34090909090909094,-0.6477272727272727
Andhra Pradesh,Anakapalli,2025-06-01,29742329,58,77,6.0,18587027.0,34504430.0,,29.0,44.0,,31.0,88.0,,27611262.0,34871772.666666664,43.666666666666664,404.6666666666667,65.33333333333333,354.6666666666667,0.6001660190196096,1.0,1.4838709677419355
Andhra Pradesh,Anakapalli,2025-07-01,9559451,18,14,7.0,29742329.0,18587027.0,,58.0,29.0,,77.0,31.0,,19296269.0,23896855.333333332,35.0,36.666666666666664,40.666666666666664,49.833333333333336,-0.6785910410714642,-0.6896551724137931,-0.8181818181818181
Andhra Pradesh,Anakapalli,2025-08-01,32925733,50,59,8.0,9559451.0,29742329.0,,18.0,58.0,,14.0,77.0,,24075837.666666668,24338390.833333332,42.0,38.333333333333336,50.0,51.833333333333336,2.4443121262926084,1.7777777777777777,3.2142857142857144
Andhra Pradesh,Anakapalli,2025-09-01,22821866,33,47,9.0,32925733.0,9559451.0,,50.0,18.0,,59.0,14.0,,21769016.666666668,24690139.333333332,33.666666666666664,38.666666666666664,40.0,52.666666666666664,-0.30686839986219894,-0.33999999999999997,-0.2033898305084746
Andhra Pradesh,Anakapalli,2025-10-01,21246738,30,46,10.0,22821866.0,32925733.0,,33.0,50.0,,47.0,59.0,,25664779.0,22480524.0,37.666666666666664,36.333333333333336,50.666666666666664,45.666666666666664,-0.06901837036463188,-0.09090909090909094,-0.021276595744680882
Andhra Pradesh,Anakapalli,2025-11-01,24960034,35,52,11.0,21246738.0,22821866.0,,30.0,33.0,,46.0,47.0,,23009546.0,23542691.833333332,32.666666666666664,37.333333333333336,48.333333333333336,49.166666666666664,0.17477016942553725,0.16666666666666674,0.13043478260869557
Andhra Pradesh,Anakapalli,2025-12-01,26556874,46,45,12.0,24960034.0,21246738.0,,35.0,30.0,,52.0,46.0,,24254548.666666668,23011782.666666668,37.0,35.333333333333336,47.666666666666664,43.833333333333336,0.06397587439183772,0.3142857142857143,-0.13461538461538458
Andhra Pradesh,Anakapalli,,434379834,902,790,,26556874.0,24960034.0,75408955.0,46.0,35.0,2226.0,45.0,52.0,1843.0,161965580.66666666,93815179.83333333,327.6666666666667,182.66666666666666,295.6666666666667,173.16666666666666,15.356587526077053,18.608695652173914,16.555555555555557
Andhra Pradesh,Anantapur,2025-01-01,339195100,21756,32725,1.0,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Anantapur,2025-02-01,140210317,468,1113,2.0,339195100.0,,,21756.0,,,32725.0,,,,,,,,,-0.5866381412939043,-0.9784886927744071,-0.9659893048128342
Andhra Pradesh,Anantapur,2025-03-01,122689869,446,979,3.0,140210317.0,339195100.0,,468.0,21756.0,,1113.0,32725.0,,200698428.66666666,,7556.666666666667,,11605.666666666666,,-0.12495833669643586,-0.047008547008547064,-0.12039532794249774
Andhra Pradesh,Anantapur,2025-04-01,135572885,766,1483,4.0,122689869.0,140210317.0,,446.0,468.0,,979.0,1113.0,,132824357.0,,560.0,,1191.6666666666667,,0.10500472536978589,0.7174887892376682,0.5148110316649643
