state,district,year_month,enrol_activity,demo_activity,bio_activity,enrol_norm,demo_norm,bio_norm,isi_score,lifecycle_cluster
Andaman And Nicobar Islands,North And Middle Andaman,2025-01,2232612,1488611,5210156,0.00067868070024,0.0002865289442449,0.0013006196124405,0.0004991232826261,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-02,2976816,2232913,2977220,0.000915515684136,0.0004412277539292,0.0007311829658528,0.0002858611510856,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-03,2976819,2977211,7443071,0.000915516638854,0.000595925732237,0.001870050903671,0.0008032873265924,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-04,2232614,2232910,5954458,0.0006786813367187,0.0004412271303968,0.0014904292777996,0.0006369262959348,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-05,744203,3721540,6698754,0.0002050104142087,0.0007506301537131,0.0016802374130568,0.0009313449438662,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-06,1488409,4465833,4465857,0.0004418460345833,0.0009053270928002,0.0011108107121323,0.0007180859150563,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-07,744203,2977216,6698752,0.0002050104142087,0.0005959267714577,0.0016802369030228,0.0008694633869505,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-08,1488409,2977220,66987468,0.0004418460345833,0.0005959276028343,0.0170548845714358,0.0069719556627914,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-09,2976827,8187348,32749199,0.0009155191847686,0.0016788221804426,0.008323543823503,0.0038178425646245,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-10,2976827,46146905,16372667,0.0009155191847686,0.0095684936901856,0.0041472497134992,0.0053031935245202,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-11,3721029,17117630,10418938,0.001152353532186,0.0035349289698177,0.0026289475873068,0.0022350799164126,0
Andaman And Nicobar Islands,North And Middle Andaman,2025-12,1488409,11907328,8930527,0.0004418460345833,0.0024519982273289,0.00224937747487,0.0017921810739629,0
Andaman And Nicobar Islands,North And Middle Andaman,NaT,47629157,13395759,10418942,0.0151256468600687,0.0027613598896612,0.0026289486073748,-0.0008690059731993,0
Andaman And Nicobar Islands,South Andaman,2025-01,5208839,8930483,8186311,0.0016258331928574,0.0018332784360146,0.0020595897409731,0.0012319806322236,0
Andaman And Nicobar Islands,South Andaman,2025-02,1488205,5953648,7442086,0.0004417811137596,0.0012145607231418,0.0018697997119231,0.001145387951274,0
Andaman And Nicobar Islands,South Andaman,2025-03,2232329,6697866,8930523,0.000678590638509,0.0013692420739183,0.002249376454802,0.0013117292837863,0
Andaman And Nicobar Islands,South Andaman,2025-04,2976626,8930477,10418969,0.0009154552186629,0.0018332771889498,0.0026289554928339,0.0016018020289809,0
Andaman And Nicobar Islands,South Andaman,2025-05,3720623,5953663,9674760,0.0011522243270172,0.0012145638408039,0.002439169544056,0.0012310484885405,0
Andaman And Nicobar Islands,South Andaman,2025-07,1488209,8186295,12651578,0.0004417823867169,0.0016786033205623,0.0031983087488616,0.0018624083504262,0
Andaman And Nicobar Islands,South Andaman,2025-08,7441253,3721052,11907385,0.0023362751331577,0.0007505287257724,0.0030085268803557,0.0010363672158197,0
Andaman And Nicobar Islands,South Andaman,2025-09,1488208,16372549,139911654,0.0004417820684776,0.0033800682495477,0.0356517919306143,0.0155243876583693,0
Andaman And Nicobar Islands,South Andaman,2025-10,2976623,11907348,53583891,0.0009154542639449,0.0024520023842117,0.0136367445355551,0.0062524079151177,0
Andaman And Nicobar Islands,South Andaman,2025-11,2976414,132468988,21580175,0.0009153877519245,0.0275100328632264,0.0054752527967038,0.0130110367135872,0
Andaman And Nicobar Islands,South Andaman,2025-12,2232421,29765770,20091710,0.0006786199165276,0.0061637707608123,0.0050956689133488,0.0043680518863589,0
Andaman And Nicobar Islands,South Andaman,NaT,78877598,22324079,18603493,0.025070129852649,0.004617058888832,0.0047161482742106,-0.0012807431053127,0
Andhra Pradesh,Adilabad,2025-01,16135563,30509750,20835725,0.0051031465405095,0.0063184026446833,0.0052854053888281,0.0036208939053027,0
Andhra Pradesh,Adilabad,2025-02,18656492,17115134,14138525,0.0059054053017066,0.0035344101908423,0.003577505516406,0.001663685222558,0
Andhra Pradesh,Adilabad,2025-03,16640432,22324068,10417952,0.0052638157138606,0.0046170566025465,0.0026286961405418,0.0018455379544632,0
Andhra Pradesh,Adilabad,2025-04,7059414,10417818,20835738,0.0022147589448331,0.0021424123011686,0.0052854087040492,0.0025281766131205,0
Andhra Pradesh,Adilabad,2025-05,12606605,20091752,19347769,0.0039800933036286,0.0041530828015365,0.0049059513091277,0.00282759498354,0
Andhra Pradesh,Adilabad,2025-06,12101523,11161923,15626885,0.0038193563452998,0.0022970701655572,0.0039570626229756,0.0017377818463532,0
Andhra Pradesh,Adilabad,2025-07,5546564,16371015,21580063,0.0017333105712863,0.0033797494166357,0.0054752242347994,0.0031953273463168,0
Andhra Pradesh,Adilabad,2025-08,16640094,20091864,21580027,0.0052637081489664,0.0041531060800803,0.0054752150541873,0.0027985868239138,0
Andhra Pradesh,Adilabad,2025-09,15127308,27533391,270122679,0.0047822801427367,0.0056997838656215,0.0688578172823223,0.0288665844306301,0
Andhra Pradesh,Adilabad,2025-10,15127148,22324317,145749122,0.0047822292244436,0.0046171083557375,0.0371404455250222,0.0157465757074151,0
Andhra Pradesh,Adilabad,2025-11,13110702,304351177,71602855,0.0041405167962154,0.063234738754435,0.0182318867318132,0.0317585468352562,0
Andhra Pradesh,Adilabad,2025-12,14119397,89757915,60004444,0.0044615232192942,0.0186327865929747,0.0152740947191512,0.0126704478809915,0
Andhra Pradesh,Adilabad,NaT,275820931,79670444,65047027,0.087745244605432,0.0165361648501536,0.0165600391231376,-0.0043105673317698,0
Andhra Pradesh,Alluri Sitharama Raju,2025-01,4786344,100847037,42860563,0.0014913786662476,0.0209375956272705,0.0109021135669203,0.0124376079444268,0
Andhra Pradesh,Alluri Sitharama Raju,2025-02,10079855,62526887,66055525,0.0031759820712794,0.0129729769752646,0.0168172232606187,0.0112808836800974,0
Andhra Pradesh,Alluri Sitharama Raju,2025-03,11118322,52440816,29245242,0.0035064631157531,0.0108766462142406,0.0074299752107585,0.006621355946849,0
Andhra Pradesh,Alluri Sitharama Raju,2025-04,3693674,56475460,68072899,0.0011436480952568,0.011715223329847,0.0173316879320079,0.0113900348856906,0
Andhra Pradesh,Alluri Sitharama Raju,2025-05,13201459,52441737,49919977,0.0041693992432775,0.0108768376386943,0.0127023841680633,0.0085978088740475,0
Andhra Pradesh,Alluri Sitharama Raju,2025-06,10055768,50423732,56475133,0.0031683166404874,0.0104574071233429,0.0143740604053128,0.0092989236833648,0
Andhra Pradesh,Alluri Sitharama Raju,2025-07,7367806,55465764,57482803,0.0023129014089339,0.0115053639322597,0.0146310333887154,0.0099919786466032,0
Andhra Pradesh,Alluri Sitharama Raju,2025-08,9500560,51432131,66055569,0.0029916276173984,0.0106669969470796,0.0168172344813668,0.0103953670478989,0
Andhra Pradesh,Alluri Sitharama Raju,2025-09,9015291,83197541,875863028,0.0028371959349562,0.0172692512956303,0.2233319056741957,0.0956730236009391,3
Andhra Pradesh,Alluri Sitharama Raju,2025-10,12661458,70593482,93424706,0.0039975496857116,0.0146495714822062,0.0237968297735194,0.0145790505651479,0
Andhra Pradesh,Alluri Sitharama Raju,2025-11,11118530,1003944027,46555176,0.0035065293095342,0.2086410135712073,0.0118443027013868,0.0874928206471308,3
Andhra Pradesh,Alluri Sitharama Raju,2025-12,11651986,60679625,33791069,0.0036762959906717,0.0125890343920456,0.0085892383884079,0.007736049914047,0
Andhra Pradesh,Alluri Sitharama Raju,NaT,278517602,51095869,43316945,0.0886034313833287,0.0105971068606066,0.0110184987367787,-0.0090744440377116,0
Andhra Pradesh,Anakapalli,2025-01,4247586,61637975,35455499,0.0013199246801714,0.0127882218243795,0.0090136963386939,0.0084567823291951,0
Andhra Pradesh,Anakapalli,2025-02,6903651,32774267,34336808,0.0021651890317494,0.0067890692348711,0.0087284111126024,0.0057739543326395,0
Andhra Pradesh,Anakapalli,2025-03,7965743,31701718,16391730,0.0025031884804436,0.0065661462095022,0.0041521111026272,0.003786665228763,0
Andhra Pradesh,Anakapalli,2025-04,3717349,33794510,39663328,0.0011511824114439,0.0070011207646114,0.0100867642793667,0.0066049175353025,0
Andhra Pradesh,Anakapalli,2025-05,3186310,42757773,32773327,0.0009821849147721,0.0088640824615942,0.0083296968737512,0.0066810747511837,0
Andhra Pradesh,Anakapalli,2025-06,5310502,34798567,33857388,0.0016581863580753,0.0072098081290887,0.0086061508610291,0.0059947463244321,0
Andhra Pradesh,Anakapalli,2025-07,2124421,39610671,37461092,0.0006442500686622,0.0082099757504,0.0095251566547709,0.0069652029483359,0
Andhra Pradesh,Anakapalli,2025-08,6372624,34313786,38542318,0.0019961953539495,0.0071090492386685,0.0098008876688453,0.0063647356922156,0
Andhra Pradesh,Anakapalli,2025-09,6903782,43857279,508729503,0.0021652307211019,0.0090926083414666,0.1297066144316767,0.0550866429650369,3
Andhra Pradesh,Anakapalli,2025-10,6372633,38438442,75413024,0.0019961982181035,0.0079663348210764,0.0192035446110772,0.0104687121292407,0
Andhra Pradesh,Anakapalli,2025-11,6373005,642145937,30276607,0.0019963166031351,0.133443400412749,0.0076929908220469,0.0560552931732913,3
Andhra Pradesh,Anakapalli,2025-12,4248596,66925115,20711448,0.0013202461018968,0.013887122894959,0.0052537126407476,0.0073922849939032,0
Andhra Pradesh,Anakapalli,NaT,171527054,59462138,34504562,0.0545548308482543,0.0123359868525977,0.0087711912349219,-0.0024680949346429,0
Andhra Pradesh,Anantapur,2025-01,31449176,67981845,18587087,0.0099765405134586,0.0141067580338646,0.0047119644652595,0.0055321808969579,0
Andhra Pradesh,Anantapur,2025-02,50005395,46745824,29742464,0.015881859254067,0.0096929754951483,0.007556775275019,0.0037235284572535,0
Andhra Pradesh,Anantapur,2025-03,41759142,39298534,9559483,0.0132575772071318,0.0081450999038237,0.0024097719490023,0.0015704332997041,0
Andhra Pradesh,Anantapur,2025-04,18558495,48859553,32925842,0.0058742188018802,0.0101323016830334,0.0083685907919621,0.0062255132296222,0
Andhra Pradesh,Anantapur,2025-05,31446731,49922299,22821946,0.0099757624182916,0.0103531872122901,0.0057919255155232,0.004462892607467,0
Andhra Pradesh,Anantapur,2025-06,38665972,36112465,21246814,0.0122732088523022,0.0074828941299951,0.0053902400735702,0.0026946119109657,0
Andhra Pradesh,Anantapur,2025-07,23195996,46205584,24960121,0.00735005402267,0.0095806897765235,0.0063371964958906,0.0048971437044316,0
Andhra Pradesh,Anantapur,2025-08,38664552,37709328,26556965,0.0122727569524506,0.0078147927482025,0.0067444188670125,0.0033691332555959,0
Andhra Pradesh,Anantapur,2025-09,29904721,70633134,434381526,0.0094850341858211,0.0146578129180771,0.1107466161587947,0.0482647647935845,3
Andhra Pradesh,Anantapur,2025-10,37119032,49918580,339249581,0.0117809116999245,0.0103524142399305,0.0864863526563202,0.0363793244185154,3
Andhra Pradesh,Anantapur,2025-11,40729472,793871479,140211898,0.0129298957140624,0.1649786653268712,0.0357283592556599,0.0776968306901999,3
Andhra Pradesh,Anantapur,2025-12,37632614,183028423,122691294,0.0119443536925761,0.0380185151900408,0.0312603073330118,0.0253226582707058,0
Andhra Pradesh,Anantapur,NaT,905770844,171663325,135575134,0.2882200841664173,0.0356563461611442,0.0345459055968097,-0.0295631161301019,2
Andhra Pradesh,Ananthapur,2025-01,13404388,199495657,91242995,0.0042339792326985,0.0414411332920927,0.0232404563729099,0.0250258400194614,0
Andhra Pradesh,Ananthapur,2025-02,25260934,137638585,140215661,0.0080071985125898,0.028584503309964,0.0357293188846422,0.0241240891753245,0
Andhra Pradesh,Ananthapur,2025-03,16497656,110313998,69593798,0.0052183787749826,0.022905248002285,0.0177195430368378,0.0152062406606526,0
Andhra Pradesh,Ananthapur,2025-04,8764919,113405892,140730521,0.0027575177169031,0.0235478800541539,0.0358606169388014,0.0232118952538015,0
Andhra Pradesh,Ananthapur,2025-05,17529323,130934359,102585257,0.0055466957919982,0.0271910692172775,0.0261329260352731,0.0202202589426206,0
Andhra Pradesh,Ananthapur,2025-06,19074411,104646768,121144649,0.0060384035651328,0.0217273474522296,0.0308658865604229,0.0198296128920344,0
Andhra Pradesh,Ananthapur,2025-07,11856884,118564074,121657479,0.0037415025933375,0.0246199779600244,0.030996666930066,0.0214983574373686,0
Andhra Pradesh,Ananthapur,2025-08,20105017,92790669,130423286,0.006366382930217,0.0192631267423569,0.0332320967599916,0.0197248128148959,0
Andhra Pradesh,Ananthapur,2025-09,20108764,177327266,1827972735,0.0063675753729944,0.0368335631118205,0.4661360696706718,0.199914338038398,1
Andhra Pradesh,Ananthapur,2025-10,15982317,152587335,284111023,0.0050543776358246,0.0316915134097202,0.0724250828459903,0.0406357629751193,3
Andhra Pradesh,Ananthapur,2025-11,16497771,2170757738,122694647,0.0052184153725058,0.4511564068054919,0.0312611624050228,0.1919233446097047,4
Andhra Pradesh,Ananthapur,2025-12,21652192,184038420,111347668,0.0068587548688378,0.0382284371487145,0.0283674898274565,0.0252666198167008,0
Andhra Pradesh,Ananthapur,NaT,525843883,140727868,117531726,0.167312381856174,0.0292265926807813,0.0299445297649306,-0.00979402739295,0
Andhra Pradesh,Ananthapuramu,2025-01,21654893,162376245,78870288,0.0068596144332737,0.0337260809980206,0.0200852057149011,0.0201525917985139,0
Andhra Pradesh,Ananthapuramu,2025-02,37120665,104647410,119081996,0.0117814313847538,0.0217274808881679,0.0303398749741553,0.0184706560679785,0
Andhra Pradesh,Ananthapuramu,2025-03,32993566,73712110,58250502,0.0104680261555395,0.0152977600393352,0.0148268096868935,0.0099562226593836,0
Andhra Pradesh,Ananthapuramu,2025-04,14435822,98459859,106711439,0.0045622220999497,0.0204414346669283,0.0271851726027029,0.0181381984878625,0
Andhra Pradesh,Ananthapuramu,2025-05,21137481,106190914,85573319,0.0066949535839803,0.0220482891508664,0.0217945925914677,0.0161981619801376,0
Andhra Pradesh,Ananthapuramu,2025-06,23714094,97425029,104128388,0.0075149331841453,0.0202263513147061,0.0265264506781135,0.0171981341602988,0
Andhra Pradesh,Ananthapuramu,2025-07,14436418,92791112,109802261,0.0045624117705916,0.0192632188173112,0.0279733847659173,0.0179821590791731,0
Andhra Pradesh,Ananthapuramu,2025-08,28872156,81962961,115472615,0.0091564313898854,0.0170126510762837,0.0294194214488876,0.0167415427320914,0
Andhra Pradesh,Ananthapuramu,2025-09,21650853,153103753,1531554652,0.0068583287463721,0.0317988478652229,0.39054441851208,0.1675656408016467,1
Andhra Pradesh,Ananthapuramu,2025-10,23714422,110316783,297538660,0.0075150375666462,0.0229058268482171,0.0758493585909629,0.0379990666623428,3
Andhra Pradesh,Ananthapuramu,2025-11,25262560,1728460844,121658631,0.0080077159697438,0.3592275888943758,0.0309969607096535,0.1544882766476629,4
Andhra Pradesh,Ananthapuramu,2025-12,27323183,173239980,106193875,0.0086634872569456,0.0359840446649542,0.0270531849825676,0.0234821944076196,0
Andhra Pradesh,Ananthapuramu,NaT,721743303,129904899,124749578,0.2296552824330807,0.0269771019880914,0.0317852047499933,-0.0224261337913822,2
Andhra Pradesh,Annamayya,2025-01,4135103,154139090,87118538,0.0012841281653803,0.0320140365944245,0.0221886497098103,0.0214242488886178,0
Andhra Pradesh,Annamayya,2025-02,13434210,103099000,120625950,0.00424346976606,0.0214056529421147,0.0307336094959891,0.0200070110220295,0
Andhra Pradesh,Annamayya,2025-03,6717970,81967079,57219691,0.0021060980343282,0.0170135069784555,0.0145639353550248,0.0122097573265265,0
Andhra Pradesh,Annamayya,2025-04,6715733,102588482,111351471,0.0021053861329424,0.0212995447670427,0.0283684596571189,0.0194461245430761,0
Andhra Pradesh,Annamayya,2025-05,12919953,98467758,88150530,0.0040798129618592,0.0204430764277964,0.0224518252167596,0.0163419980654506,0
Andhra Pradesh,Annamayya,2025-06,9300693,93823852,104646079,0.0029280220768123,0.0194778677752791,0.0266584706854082,0.0178689309689124,0
Andhra Pradesh,Annamayya,2025-07,5683604,86607014,110316743,0.0017769220893554,0.0179778902818897,0.0281045864236494,0.0180776062643446,0
Andhra Pradesh,Annamayya,2025-08,9815522,86600969,109802150,0.003091860913911,0.0179766338640586,0.02797335645903,0.0177616239464532,0
Andhra Pradesh,Annamayya,2025-09,10332690,133515415,1603198203,0.0032564441128075,0.0277275265839494,0.4088147421716347,0.1739656186796722,1
Andhra Pradesh,Annamayya,2025-10,12919585,130939627,74924961,0.004079695849785,0.0271921641402112,0.019079080247547,0.0176925585851463,0
Andhra Pradesh,Annamayya,2025-11,7750737,1781096414,40302019,0.0024347651146091,0.3701675837164461,0.0102496413440232,0.1516799370012659,4
Andhra Pradesh,Annamayya,2025-12,10850014,87876359,31011989,0.0034210769570397,0.0182417162027912,0.0078805257357394,0.0097646813840043,0
Andhra Pradesh,Annamayya,NaT,251654070,69254249,37726543,0.0800543989021679,0.0143712197499927,0.0095928511732315,-0.0064252514111438,0
Andhra Pradesh,Bapatla,2025-01,4181716,78020006,27910646,0.0012989622553669,0.016193130982103,0.0070896305386366,0.0090533121572224,0
Andhra Pradesh,Bapatla,2025-02,5749014,62014914,33073073,0.0017977381240672,0.0128665663869678,0.0084061372003293,0.0081495338101054,0
Andhra Pradesh,Bapatla,2025-03,5747471,42885248,12400822,0.0017972470807777,0.0088905773934424,0.0031343617052599,0.0044505262233253,0
Andhra Pradesh,Bapatla,2025-04,2092040,57358004,36685617,0.0006339451608499,0.0118986549292435,0.0093273973443775,0.0083636318772784,0
Andhra Pradesh,Bapatla,2025-05,6796856,59945147,27907028,0.0021312026622792,0.0124363774432004,0.0070887078871197,0.0073837935996722,0
Andhra Pradesh,Bapatla,2025-06,4181032,42892976,31005943,0.0012987445796637,0.0088921836129625,0.0078789839029394,0.006448718090428,0
Andhra Pradesh,Bapatla,2025-07,3659223,53739726,34102253,0.0011326844320271,0.0111466170471647,0.0086685955994662,0.0076995481722469,0
Andhra Pradesh,Bapatla,2025-08,5749905,40825101,33075334,0.001798021675312,0.0084623879103095,0.0084067137937731,0.0063880363465706,0
Andhra Pradesh,Bapatla,2025-09,8365415,69757391,489339260,0.0026303798307773,0.0144757948666822,0.124761772774576,0.0551689510903478,3
Andhra Pradesh,Bapatla,2025-10,6794878,61495300,66390625,0.0021305731848803,0.0127585676615911,0.0169026794583205,0.0114383842109886,0
Andhra Pradesh,Bapatla,2025-11,6797826,924969804,35549304,0.0021315113544313,0.1922266840465715,0.0090376182086593,0.0800794186312061,3
Andhra Pradesh,Bapatla,2025-12,3138481,77890733,29800491,0.0009669638457577,0.0161662623464896,0.0075715731466515,0.0093017414281049,0
Andhra Pradesh,Bapatla,NaT,153140583,61158705,47047045,0.0487035325977889,0.0126886083630192,0.0119697376596303,0.000122631889502,0
Andhra Pradesh,Chittoor,2025-01,44493617,72138862,26663967,0.0141277947047386,0.0149707696605128,0.0067717061963664,0.005871431401804,0
Andhra Pradesh,Chittoor,2025-02,65707111,51232943,35543603,0.0208787628665168,0.0106255968883623,0.0090361643567253,0.0036889519247317,0
Andhra Pradesh,Chittoor,2025-03,52774206,47568968,15159311,0.0167630038173803,0.0098640611525815,0.0038378233028198,0.0021281530186844,0
Andhra Pradesh,Chittoor,2025-04,27421946,54884426,23524604,0.0086949175281004,0.0113845362351363,0.0059711152528099,0.0052032770895584,0
Andhra Pradesh,Chittoor,2025-05,48115264,61167764,20390562,0.0152803452270712,0.0126904912230906,0.0051718812547263,0.0040888799457125,0
Andhra Pradesh,Chittoor,2025-06,50700921,41290334,25613039,0.0161032029837557,0.0085590838634655,0.0065037016874486,0.0028044736236145,0
Andhra Pradesh,Chittoor,2025-07,24835343,49133936,30319554,0.0078717587170078,0.010189330581918,0.0077039430372743,0.0055829577042754,0
Andhra Pradesh,Chittoor,2025-08,57947550,36599032,32935060,0.0184093653565934,0.0075840242300509,0.0083709415386957,0.0027001132361799,0
Andhra Pradesh,Chittoor,2025-09,47079665,83114840,467854005,0.0149507768930019,0.0172520623773421,0.119282667436008,0.0516237365467397,3
Andhra Pradesh,Chittoor,2025-10,62602493,68477207,375372461,0.0198907513078135,0.0142097161231386,0.0956983012532743,0.0399850566890025,3
Andhra Pradesh,Chittoor,2025-11,54324083,824341238,149118399,0.0172562356386764,0.1713116262065526,0.0379996684478041,0.0802732707340074,3
Andhra Pradesh,Chittoor,2025-12,53289986,250488864,139406129,0.0169271453000839,0.0520397725875495,0.035522874460178,0.0316396297590742,3
Andhra Pradesh,Chittoor,NaT,1281247048,190399203,146422760,0.407711380541702,0.0395504886261529,0.0373122346688821,-0.0507971867903263,2
Andhra Pradesh,Cuddapah,2025-01,35620722,198674144,120148092,0.0113040905262662,0.0412703866284532,0.0306117475809745,0.0264920355785179,0
Andhra Pradesh,Cuddapah,2025-02,53175751,125951966,154181047,0.016890791229983,0.0261555080250738,0.0392907297679555,0.0228003368712151,0
Andhra Pradesh,Cuddapah,2025-03,46462517,129344944,77204547,0.0147543761256835,0.0268607186222308,0.0196604134373242,0.0156575775986853,0
Andhra Pradesh,Cuddapah,2025-04,21682636,144350609,149523099,0.0068684433470638,0.0299795581712605,0.038102873828914,0.025859284130657,0
Andhra Pradesh,Cuddapah,2025-05,43366210,147969269,122218893,0.0137690094540691,0.0307316754498011,0.0311398370457825,0.0219948031074196,0
Andhra Pradesh,Cuddapah,2025-06,44914968,108132949,133486602,0.0142618851655526,0.0224519297468414,0.0340132944255218,0.0197337126358347,0
Andhra Pradesh,Cuddapah,2025-07,20651168,146655229,133482563,0.0065401896596753,0.0304585599350267,0.0340122644118467,0.0244802918068143,0
Andhra Pradesh,Cuddapah,2025-08,44914451,116926269,146419927,0.0142617206358179,0.0242795697870045,0.0373115122057126,0.0217840886699232,0
Andhra Pradesh,Cuddapah,2025-09,37169443,192465506,2021489100,0.0117969544628943,0.0399799575978166,0.5154860331024194,0.2198270053875155,1
Andhra Pradesh,Cuddapah,2025-10,45946875,165681031,299547430,0.0145902785600078,0.0344129614047123,0.0763616290960584,0.0413917804883067,3
Andhra Pradesh,Cuddapah,2025-11,43365342,2489293214,120809743,0.0137687332223289,0.5173621391284385,0.0307804798360196,0.2165033009413175,4
Andhra Pradesh,Cuddapah,2025-12,36137543,167815661,131135585,0.0114685632961144,0.0348566317429842,0.0334137451162041,0.0250144380844524,0
Andhra Pradesh,Cuddapah,NaT,988107116,154886791,129071678,0.3144227243741788,0.0321694418663434,0.0328874137386148,-0.0368618026328524,2
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-01,5332414,153852117,107384485,0.00166515961832,0.0319543909378072,0.027356810776497,0.0233914487620577,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-02,11731380,108420789,117196264,0.0037015622842034,0.0225117556043287,0.0298589812510736,0.0202079822853202,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-03,7998894,97059024,65049565,0.0025137384325416,0.0201502793199533,0.0165606863562912,0.0141816385839895,0
